hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
32,0.0153172,2.37255,2199.95,-3875.46,60.8981,936.562,0.0560943,2.5016,0.00531237
32,0.0155339,2.38526,2199.95,-3875.51,61.4181,930.838,0.0563438,2.54431,0.00564765
32,0.0149413,2.4057,2199.95,-3875.45,60.2833,933.566,0.0560346,2.55992,0.00577079
32,0.0154052,2.37571,2199.95,-3875.41,59.4049,943.619,0.0571028,2.49618,0.00437777
32,0.0151232,2.40061,2199.95,-3875.4,60.2352,936.467,0.0572362,2.54011,0.00466986
32,0.0157436,2.36513,2199.95,-3875.51,61.9051,934.249,0.0575995,2.50139,0.00408163
32,0.0150981,2.34724,2199.95,-3875.38,60.4493,941.864,0.0571586,2.45811,0.0039946
32,0.0155763,2.34666,2199.95,-3875.6,61.672,934.874,0.0564752,2.49137,0.004717
32,0.0154187,2.38393,2199.95,-3875.43,61.861,932.052,0.056221,2.51425,0.004904
32,0.0155465,2.34091,2199.95,-3875.63,61.7732,931.051,0.055753,2.52339,0.0045068
32,0.0152225,2.39191,2199.95,-3875.49,61.1848,931.966,0.0557676,2.53624,0.0048157
32,0.0152593,2.36673,2199.95,-3875.61,60.7818,937.884,0.0559586,2.48835,0.00498715
32,0.0155042,2.39574,2199.95,-3875.49,61.4487,932.402,0.0559493,2.52581,0.00522699
32,0.0147234,2.39392,2199.95,-3875.58,59.6712,936.476,0.0564822,2.55923,0.00553931
32,0.0155953,2.3705,2199.95,-3875.47,61.687,934.89,0.0566494,2.49116,0.00380009
32,0.0149757,2.3454,2199.95,-3875.62,60.8502,939.718,0.0565229,2.46191,0.00351489
32,0.0148444,2.36794,2199.95,-3875.57,60.2753,936.818,0.0568759,2.53125,0.00462982
32,0.0152444,2.34665,2199.95,-3875.52,60.2168,941.823,0.0568116,2.47253,0.0040515
32,0.0149817,2.38311,2199.95,-3875.45,59.1568,944.268,0.0573351,2.5031,0.00366021
32,0.0146437,2.40983,2199.95,-3875.44,59.6975,936.834,0.0563232,2.5491,0.00541832
32,0.0151036,2.41026,2199.95,-3875.49,60.0613,934.494,0.0570358,2.56816,0.00643797
32,0.0149998,2.37792,2199.95,-3875.44,59.5286,942.208,0.0571554,2.50644,0.00458853
32,0.0150816,2.36644,2199.95,-3875.41,60.5296,937.416,0.056658,2.51393,0.00426034
32,0.0153177,2.35188,2199.95,-3875.57,61.2107,938.099,0.056251,2.46482,0.00330799
32,0.0156843,2.41824,2199.95,-3875.54,61.3104,929.014,0.0557421,2.56155,0.00541786
32,0.0157472,2.37357,2199.95,-3875.5,61.6207,933.334,0.0558877,2.50882,0.00476506
32,0.0151435,2.40074,2199.95,-3875.51,61.1329,929.129,0.0559809,2.5719,0.00551365
32,0.0153918,2.41359,2199.95,-3875.58,61.9422,925.427,0.0556034,2.57136,0.00579077
32,0.0152127,2.37843,2199.95,-3875.46,61.0936,934.982,0.0548155,2.50225,0.00497038
32,0.0151623,2.37901,2199.95,-3875.56,60.4768,936.105,0.0567422,2.53026,0.00534479
32,0.0149125,2.4044,2199.95,-3875.43,59.6091,936.566,0.0563906,2.55884,0.00587017
32,0.0153855,2.3554,2199.95,-3875.44,61.116,937.269,0.0559157,2.48384,0.00463346
32,0.0152616,2.39341,2199.95,-3875.44,60.4686,933.366,0.055861,2.55266,0.00505204
32,0.0151046,2.38876,2199.95,-3875.41,59.6926,942.053,0.0571723,2.50116,0.00490756
32,0.015207,2.40881,2199.95,-3875.5,60.1363,934.469,0.0562575,2.55905,0.00528869
32,0.0152905,2.37179,2199.95,-3875.48,61.1339,933.884,0.0559819,2.52094,0.00488156
32,0.0148428,2.37532,2199.95,-3875.43,59.4251,944.451,0.0575729,2.48605,0.00453262
32,0.0155255,2.3974,2199.95,-3875.47,60.8165,934.442,0.0569969,2.53722,0.005614
32,0.0155328,2.41053,2199.95,-3875.46,61.3945,925.861,0.054878,2.58738,0.0058646
32,0.0157096,2.38245,2199.95,-3875.43,62.3638,928.663,0.055922,2.52775,0.00367098
32,0.0154284,2.39537,2199.95,-3875.54,61.3348,933.469,0.0561862,2.52122,0.00516375
32,0.0158264,2.39605,2199.95,-3875.49,62.2924,926.371,0.0547996,2.5426,0.00478909
32,0.014981,2.36787,2199.95,-3875.54,60.6504,939.274,0.0572812,2.48988,0.00414695
32,0.0153056,2.34973,2199.95,-3875.59,59.6871,938.758,0.0570047,2.53498,0.00496412
32,0.015101,2.39277,2199.95,-3875.52,60.6182,933.776,0.0558448,2.54291,0.00440961
32,0.0149812,2.37142,2199.95,-3875.61,60.021,940.401,0.0564287,2.4985,0.00410507
32,0.015149,2.39746,2199.95,-3875.6,59.5328,938.359,0.0573714,2.54953,0.00592659
32,0.0147683,2.38999,2199.95,-3875.49,59.6225,942.006,0.0571174,2.50505,0.00458552
32,0.0149497,2.38191,2199.95,-3875.4,59.6429,941.019,0.0562668,2.50569,0.00551915
32,0.0147575,2.36798,2199.95,-3875.58,59.5561,944.068,0.0574158,2.48028,0.00394794
32,0.0158199,2.38996,2199.95,-3875.52,62.0579,928.903,0.055694,2.53473,0.00531644
32,0.0154904,2.37639,2199.95,-3875.49,60.8633,935.105,0.0557487,2.51865,0.00520547
32,0.0154301,2.38639,2199.95,-3875.58,61.0556,933.627,0.0557836,2.52465,0.00505488
32,0.0156211,2.36892,2199.95,-3875.54,59.7366,940.109,0.0560227,2.51537,0.00449016
32,0.0156279,2.39418,2199.95,-3875.42,61.8603,928.997,0.0555522,2.54128,0.00525575
32,0.0149416,2.36904,2199.95,-3875.45,59.8346,942.301,0.0575184,2.49247,0.00408199
32,0.0155512,2.38212,2199.95,-3875.49,61.4104,935.162,0.0563797,2.50065,0.00500533
32,0.0156705,2.37628,2199.95,-3875.52,62.051,929.883,0.0562706,2.5288,0.00436179
32,0.0145875,2.40972,2199.95,-3875.56,59.3776,938.947,0.0564816,2.54391,0.00592275
32,0.0155693,2.37483,2199.95,-3875.38,62.0301,930.766,0.0554479,2.51435,0.00529384
32,0.0154034,2.41093,2199.95,-3875.39,61.3014,928.54,0.0561594,2.57301,0.00590351
32,0.0153132,2.38825,2199.95,-3875.57,60.2699,937.46,0.0562051,2.51944,0.00436311
32,0.0150076,2.36811,2199.95,-3875.62,60.015,941.962,0.0564252,2.48232,0.00445387
32,0.0148174,2.38511,2199.95,-3875.44,59.2301,943.609,0.0569442,2.50424,0.00486979
32,0.0149543,2.42417,2199.95,-3875.56,59.5418,936.446,0.0559736,2.56327,0.0060501
32,0.014769,2.3598,2199.95,-3875.51,59.7222,941.538,0.0549703,2.48133,0.00498722
