hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
13,0.02072,-0.313158,4399.63,-3875.56,81.685,764.779,0.042217,6.10691,0.00385277
13,0.020577,-0.290568,4399.63,-3875.38,81.9258,761.384,0.04182,6.14337,0.00422723
13,0.02039,-0.327588,4399.64,-3875.48,80.9151,767.85,0.0427348,6.06941,0.00330679
13,0.0206887,-0.325089,4399.63,-3875.47,82.1882,766.222,0.0422788,6.07079,0.0033157
13,0.0207232,-0.298871,4399.63,-3875.44,82.2382,762.412,0.0419357,6.12834,0.00404889
13,0.0205711,-0.300917,4399.63,-3875.55,81.3325,765.458,0.0422457,6.10423,0.00415629
13,0.0205749,-0.306997,4399.63,-3875.61,82.275,764.029,0.0416125,6.10235,0.00385362
13,0.0205875,-0.296503,4399.63,-3875.6,81.1646,765.642,0.0425426,6.10758,0.00383251
13,0.0205186,-0.327401,4399.64,-3875.59,81.4821,767.782,0.0426056,6.05861,0.00325194
13,0.0206919,-0.323709,4399.63,-3875.53,82.0717,765.774,0.0421184,6.083,0.00356515
13,0.0204288,-0.301618,4399.64,-3875.38,81.1347,764.46,0.0420017,6.12138,0.00442744
13,0.0204277,-0.288113,4399.64,-3875.46,81.6548,761.749,0.0418962,6.14568,0.00438556
13,0.0207577,-0.322392,4399.63,-3875.45,82.3437,765.54,0.0419572,6.07952,0.00339503
13,0.0205891,-0.307561,4399.63,-3875.42,82.098,764.016,0.0417148,6.1072,0.00387873
13,0.0204595,-0.291337,4399.64,-3875.55,81.4863,762.474,0.0416941,6.13647,0.00436482
13,0.020603,-0.280984,4399.64,-3875.48,81.7177,761.249,0.041697,6.15072,0.00444594
13,0.0204657,-0.323596,4399.63,-3875.5,81.5426,766.572,0.042197,6.079,0.0033142
13,0.0205683,-0.305629,4399.63,-3875.46,81.8452,764.06,0.0422946,6.11557,0.00398664
13,0.0204815,-0.292487,4399.64,-3875.56,81.3654,761.992,0.0416553,6.14379,0.0044018
13,0.020693,-0.296657,4399.63,-3875.43,82.2336,762.207,0.0416425,6.1284,0.00394873
