tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0171295,-2.25487,4399.75,-4499.87,77.244,784.942,0.0464075,4.0398,0.000351133,0.000608919
0.0167397,-2.27047,4399.76,-4499.87,76.6546,786.362,0.046915,4.00783,-0.000633391,-0.0313609
0.0165609,-2.2346,4399.76,-4499.87,78.6504,781.047,0.0457606,4.07345,0.000715054,0.0342561
0.016804,-2.30503,4399.76,-4499.87,77.6193,783.935,0.0463952,4.04647,0.0001795,0.0072756
0.0171954,-2.26382,4399.74,-4499.87,78.5903,781.543,0.0458351,4.00734,-0.000543488,-0.0318506
0.0167213,-2.24774,4399.76,-4499.87,76.5568,786.71,0.0470063,4.02179,-0.000512207,-0.0174005
0.0167236,-2.22649,4399.76,-4499.87,77.639,783.988,0.0465801,4.07163,0.000620059,0.0324411
0.0168858,-2.263,4399.75,-4499.87,77.4605,784.584,0.0467577,4.02386,-0.000455641,-0.0153274
0.0169415,-2.24013,4399.75,-4499.87,77.9257,783.532,0.0465976,4.02551,-0.000201247,-0.0136832
0.0168406,-2.24008,4399.75,-4499.87,77.6504,783.812,0.0461686,4.01808,-0.000431655,-0.0211084
0.0166811,-2.2394,4399.76,-4499.87,77.4916,784.2,0.0467445,4.06856,0.000391307,0.0293731
0.016967,-2.22995,4399.75,-4499.87,78.9646,780.895,0.0458621,4.01685,-0.000402473,-0.0223409
0.0168658,-2.23579,4399.76,-4499.87,76.6377,786.469,0.0467887,4.02633,-2.26447e-05,-0.0128594
0.0169511,-2.26098,4399.75,-4499.87,78.451,781.85,0.0459357,4.02351,-0.000258604,-0.0156839
0.0169963,-2.23883,4399.75,-4499.87,77.6671,783.965,0.0466205,4.0366,-0.000194834,-0.00259444
0.0169897,-2.24008,4399.75,-4499.87,77.6378,783.968,0.0459843,4.01401,-0.000539683,-0.02518
0.016933,-2.25765,4399.75,-4499.87,77.4851,784.418,0.0467121,3.99541,-0.000713227,-0.0437812
0.0167946,-2.25412,4399.76,-4499.87,77.0517,785.081,0.0464256,3.99766,-0.000897831,-0.0415256
0.0172071,-2.26798,4399.74,-4499.87,78.2618,782.567,0.0462048,4.0182,6.62334e-05,-0.020991
0.0165134,-2.25131,4399.76,-4499.87,76.1321,787.562,0.0471731,4.02498,-0.000516641,-0.0142066
0.0167495,-2.26353,4399.76,-4499.87,77.2307,785.004,0.0467217,4.00422,-0.000224527,-0.0349682
0.0168568,-2.24063,4399.75,-4499.87,78.9875,780.769,0.0460521,4.04006,0.000150176,0.00087143
0.0168449,-2.25656,4399.75,-4499.87,77.861,783.263,0.046105,4.03549,0.000214121,-0.00370028
0.0164277,-2.21446,4399.76,-4499.87,78.2517,782.087,0.0461671,3.99523,-0.000528321,-0.043964
0.0164817,-2.23332,4399.77,-4499.87,76.6249,786.044,0.0465713,4.05431,0.000165794,0.0151239
0.0170603,-2.22997,4399.75,-4499.87,78.8918,781.015,0.0459466,4.04125,-0.000482465,0.00205486
