tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0141893,-1.48434,6599.61,-5124.5,73.7244,722.865,0.0447091,4.64128,-0.00385518,-0.295513
0.0140347,-1.47619,6599.62,-5124.5,73.6422,720.747,0.044483,4.69495,-0.00292288,-0.241842
0.0137602,-1.50622,6599.63,-5124.5,71.5961,727.928,0.0454449,4.64327,-0.00353816,-0.293523
0.0137426,-1.47799,6599.63,-5124.5,71.7724,725.792,0.0451844,4.68131,-0.00314787,-0.255475
0.014206,-1.49603,6599.61,-5124.5,74.294,721.699,0.044557,4.62712,-0.00385253,-0.30967
0.0141078,-1.4867,6599.62,-5124.5,72.8534,723.182,0.0445649,4.68117,-0.00301993,-0.255622
0.0143195,-1.50397,6599.6,-5124.5,74.1746,720.945,0.0445939,4.66626,-0.00347815,-0.270532
0.0137097,-1.50439,6599.64,-5124.5,72.0412,726.478,0.045231,4.64712,-0.00330823,-0.289673
0.013775,-1.48946,6599.63,-5124.5,71.8986,726.378,0.0453538,4.662,-0.00323005,-0.274788
0.0139811,-1.46918,6599.62,-5124.5,73.0385,721.86,0.0444142,4.69557,-0.00322942,-0.241223
0.0136083,-1.49495,6599.64,-5124.5,71.373,727.589,0.0453925,4.65748,-0.00349851,-0.27931
0.0137671,-1.48647,6599.63,-5124.5,72.4692,723.08,0.0448361,4.69951,-0.00282332,-0.237281
0.0139343,-1.46969,6599.62,-5124.5,72.5999,721.713,0.0448763,4.73,-0.00251505,-0.206793
0.0138401,-1.46388,6599.62,-5124.5,71.2276,728.002,0.0455393,4.66819,-0.00299563,-0.2686
0.0136069,-1.47846,6599.64,-5124.5,71.5033,725.981,0.0456519,4.69655,-0.0029637,-0.240241
0.0139797,-1.48027,6599.62,-5124.5,72.5839,722.625,0.0449142,4.70886,-0.00303415,-0.227929
0.0141764,-1.4734,6599.6,-5124.5,74.4714,719.165,0.0440224,4.68445,-0.00313517,-0.252339
