,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0,0.00865784,0.389027,6599.85,-3875.5,34.4229,802.656,0.0589478,0.407966,-4.5091e-06,-0.0408327
1,0.00836475,0.435101,6599.86,-3875.5,33.5616,805.232,0.0595442,0.435895,3.37271e-05,-0.0129035
2,0.00849938,0.500197,6599.86,-3875.5,33.8885,804.197,0.0592441,0.464489,0.000263958,0.0156903
3,0.00835894,0.394745,6599.86,-3875.5,33.3185,806.108,0.0599852,0.417291,-0.00029961,-0.0315082
4,0.00859824,0.467497,6599.86,-3875.5,34.0639,803.681,0.0592016,0.45215,-0.00017074,0.0033508
5,0.00846627,0.390838,6599.86,-3875.5,33.953,804.278,0.0594881,0.409221,-0.000144296,-0.0395783
6,0.00807591,0.412798,6599.87,-3875.5,32.3291,808.674,0.0603713,0.423136,-9.74821e-05,-0.0256631
7,0.00834058,0.480137,6599.87,-3875.5,33.2338,806.267,0.0599817,0.453774,-0.000164015,0.00497462
8,0.00794415,0.43524,6599.88,-3875.5,32.4159,808.484,0.0604533,0.446133,-0.000243076,-0.00266546
9,0.00818832,0.468848,6599.87,-3875.5,32.8037,807.435,0.0600933,0.446679,-0.000144412,-0.00211978
10,0.00886041,0.434541,6599.85,-3875.5,35.0832,800.862,0.0588644,0.423497,-0.000196646,-0.025302
11,0.00838094,0.468442,6599.86,-3875.5,32.8856,807.222,0.0601036,0.454648,7.3255e-05,0.00584884
12,0.00815079,0.425746,6599.87,-3875.5,32.7318,807.5,0.0600303,0.431127,-0.000149747,-0.0176718
13,0.00873596,0.451022,6599.85,-3875.5,34.8841,801.249,0.0586811,0.440211,-0.000198467,-0.0085878
14,0.00848228,0.40991,6599.86,-3875.5,33.9279,804.235,0.059518,0.424038,-0.000398032,-0.0247613
15,0.00808377,0.428913,6599.87,-3875.5,32.3539,808.571,0.060278,0.430419,7.80107e-07,-0.0183798
16,0.00813867,0.46094,6599.87,-3875.5,32.4135,808.523,0.0602739,0.449733,0.00011795,0.000934048
17,0.00886573,0.449304,6599.85,-3875.5,35.1513,800.555,0.0586562,0.438287,-0.000145926,-0.010512
18,0.00837337,0.491987,6599.86,-3875.5,33.0928,806.61,0.0598823,0.457822,-0.000106783,0.00902281
19,0.00879781,0.484773,6599.85,-3875.5,34.98,801.213,0.0588221,0.45988,-0.000102372,0.0110807
20,0.00833626,0.386352,6599.86,-3875.5,33.3912,806.256,0.060214,0.409436,-0.000142545,-0.0393634
21,0.00815034,0.408363,6599.87,-3875.5,32.4295,808.591,0.0605472,0.421882,-0.000216818,-0.0269171
22,0.0081136,0.487224,6599.87,-3875.5,32.093,809.375,0.0606421,0.453876,-6.82209e-05,0.00507692
23,0.00873612,0.484709,6599.85,-3875.5,34.5878,802.32,0.0590261,0.45849,-0.000231413,0.00969066
24,0.00837002,0.516875,6599.86,-3875.5,33.3733,806.061,0.0597374,0.470548,3.10029e-05,0.0217495
25,0.00846604,0.405647,6599.86,-3875.5,33.7569,804.747,0.0595707,0.417818,-0.000250629,-0.0309806
26,0.00870338,0.440618,6599.85,-3875.5,34.6888,801.953,0.0589865,0.436089,6.13086e-05,-0.0127104
27,0.00807686,0.410839,6599.87,-3875.5,32.4176,808.443,0.0603201,0.422337,-0.000139201,-0.0264621
28,0.00804405,0.447948,6599.87,-3875.5,31.9507,809.793,0.0607826,0.44222,-0.000138923,-0.00657928
29,0.00825421,0.413403,6599.87,-3875.5,32.9407,806.914,0.0599393,0.422984,-0.000358599,-0.0258154
30,0.00843412,0.404541,6599.86,-3875.5,33.7168,804.624,0.0593253,0.416975,-0.000234285,-0.0318241
31,0.00813187,0.493642,6599.87,-3875.5,32.5315,808.376,0.0603563,0.459424,-0.000420516,0.0106252
32,0.00810128,0.461214,6599.87,-3875.5,32.4927,808.438,0.0604518,0.442848,-6.27477e-05,-0.00595072
33,0.0085138,0.422902,6599.86,-3875.5,33.9335,804.089,0.0594178,0.428214,-0.00033821,-0.0205847
34,0.00857868,0.495098,6599.86,-3875.5,34.1168,803.75,0.0592018,0.466231,0.000279814,0.0174321
35,0.0081934,0.485893,6599.87,-3875.5,32.4014,808.621,0.0603483,0.444615,-7.43952e-06,-0.00418437
36,0.00879735,0.472487,6599.85,-3875.5,35.1681,800.244,0.0582281,0.451388,-6.29841e-05,0.00258895
37,0.00870739,0.463554,6599.85,-3875.5,34.4495,802.777,0.059358,0.439374,-0.000394853,-0.00942446
38,0.00851455,0.385273,6599.86,-3875.5,33.9047,804.205,0.0593961,0.41151,-0.000336214,-0.0372891
39,0.00835782,0.510998,6599.86,-3875.5,33.4814,805.507,0.0595854,0.464407,4.65495e-05,0.0156078
40,0.00873036,0.406158,6599.85,-3875.5,35.1049,800.681,0.05867,0.420493,-7.0363e-05,-0.0283064
41,0.00840323,0.450523,6599.86,-3875.5,33.5568,805.288,0.0597789,0.43899,1.20399e-05,-0.00980848
42,0.00844948,0.405281,6599.86,-3875.5,34.0096,804.08,0.059621,0.420827,-6.99884e-05,-0.0279723
43,0.00856656,0.521161,6599.86,-3875.5,34.4919,802.479,0.0587963,0.469319,6.82664e-05,0.0205205
44,0.00840716,0.384236,6599.86,-3875.5,33.6008,805.143,0.0595001,0.411519,-0.000245591,-0.0372804
45,0.00832106,0.479192,6599.87,-3875.5,33.3551,805.752,0.0596858,0.451716,-0.000249092,0.00291675
46,0.00870091,0.414263,6599.85,-3875.5,34.5876,802.255,0.0590462,0.423335,-0.000216567,-0.0254637
47,0.00869089,0.391539,6599.85,-3875.5,34.5208,802.427,0.0591963,0.409556,-0.000514808,-0.0392427
48,0.00885601,0.431568,6599.85,-3875.5,35.4325,799.667,0.0584068,0.430635,-5.67024e-05,-0.0181644
49,0.0086365,0.454095,6599.85,-3875.5,34.6438,802.009,0.0588693,0.444337,-2.19905e-05,-0.00446174
50,0.00822161,0.399799,6599.87,-3875.5,32.842,807.525,0.0603362,0.419458,-0.000286947,-0.0293406
51,0.00892103,0.423225,6599.85,-3875.5,35.5433,799.28,0.0583605,0.429447,-0.000243348,-0.0193517
52,0.00814381,0.420982,6599.87,-3875.5,32.7466,809.808,0.0600741,0.425819,-0.000306588,-0.0229803
53,0.00851549,0.475042,6599.86,-3875.5,34.1718,803.414,0.0591785,0.453713,9.87129e-05,0.00491394
54,0.00834475,0.407007,6599.86,-3875.5,33.4144,805.638,0.0597269,0.421261,-7.91157e-05,-0.0275378
55,0.00882857,0.423098,6599.85,-3875.5,35.3217,800.024,0.0584418,0.425606,-0.00020361,-0.0231934
56,0.00868292,0.498039,6599.85,-3875.5,34.3332,803.103,0.059177,0.460843,0.000105534,0.0120443
57,0.00838719,0.509663,6599.86,-3875.5,33.3798,806.035,0.0598968,0.467929,-5.80577e-05,0.0191297
58,0.00861131,0.468174,6599.86,-3875.5,34.0743,803.556,0.0591159,0.450118,-0.000164628,0.0013186
59,0.0081158,0.454417,6599.87,-3875.5,32.6946,807.667,0.0601271,0.446363,-5.96413e-06,-0.00243615
60,0.00857107,0.447176,6599.86,-3875.5,34.1531,803.328,0.0589549,0.437666,-0.000153025,-0.0111332
61,0.00823246,0.435336,6599.87,-3875.5,32.8345,807.471,0.0602612,0.434029,-0.000368455,-0.0147699
62,0.00806861,0.410488,6599.87,-3875.5,32.2962,809.158,0.0608652,0.425395,-6.57934e-07,-0.0234037
63,0.00804943,0.438261,6599.87,-3875.5,32.1849,809.199,0.0606171,0.437071,8.84468e-05,-0.0117275
64,0.00857375,0.465121,6599.86,-3875.5,34.0176,803.73,0.0591868,0.45056,3.43578e-05,0.0017615
65,0.00856606,0.442833,6599.86,-3875.5,34.0232,804.863,0.0604925,0.436282,9.90165e-05,-0.012517
66,0.00886406,0.436374,6599.85,-3875.5,35.4813,799.57,0.0584864,0.436988,-0.00038122,-0.0118107
