hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
22,0.0113104,1.46904,10999.3,-4898.63,55.485,634.088,0.0417639,1.53407,0.00102352
22,0.0123012,1.48692,10750.5,-4377.48,53.8058,642.229,0.0417937,1.53548,0.00125793
22,0.0113178,1.52463,10999.2,-4634.31,53.6839,637.539,0.0421671,1.54195,0.00104932
22,0.0109755,1.45279,10807.3,-4682.56,54.6654,632.108,0.0413718,1.46662,0.000639272
22,0.0145804,1.35791,8898.76,-4892.37,73.1715,665.519,0.0400028,1.39192,0.000539583
22,0.0132703,1.50774,10532.6,-4046.77,54.0795,649.737,0.0417506,1.55103,0.00139868
22,0.0124524,1.50758,10427.1,-4141.05,52.9339,648.769,0.0421336,1.51638,0.00130057
22,0.0104302,1.54954,10999.4,-5067.71,54.5106,631.557,0.0418951,1.50596,0.000652886
22,0.0107582,1.4262,10999.4,-5064.19,53.8204,627.843,0.0418344,1.45954,0.000470643
22,0.0137025,1.45794,10941.1,-3921.21,55.0941,635.315,0.0400867,1.48989,0.00102509
22,0.0124794,1.49348,10628.7,-4407.8,55.9869,642.304,0.0414807,1.52926,0.00143344
22,0.0111991,1.47577,10999.3,-4657.36,53.196,632.042,0.0415517,1.50001,0.00117138
22,0.0106656,1.45918,10990.8,-4773.79,52.745,628.731,0.0417088,1.47068,0.000532317
22,0.013623,1.46383,10315.2,-3970.89,54.7765,647.451,0.0410125,1.48354,0.00086133
22,0.0122962,1.49998,10998.7,-4569.15,55.8913,632.707,0.0409512,1.51796,0.00118532
22,0.0115154,1.4781,10999.3,-4527.76,55.146,630.03,0.0405526,1.48951,0.000813159
22,0.0130925,1.52517,10283.7,-4096.39,54.301,655.691,0.0422059,1.55982,0.0017143
22,0.0112362,1.55069,10999.4,-4753.59,54.6504,638.207,0.0420963,1.54266,0.00101714
22,0.0119852,1.45849,10999.2,-4700.54,55.6089,628.299,0.0407092,1.48057,0.000660422
22,0.013349,1.48811,10972.1,-3937.47,53.4549,638.928,0.0407876,1.52674,0.00113813
22,0.0108568,1.49496,10999.3,-4806.29,53.1113,634.377,0.0422265,1.50739,0.000823367
22,0.0123885,1.49753,10999.2,-4319.82,54.0928,638.262,0.041542,1.54482,0.00122137
22,0.0117734,1.45101,10999.3,-4548.98,54.1364,630.005,0.0410868,1.47313,0.000707829
22,0.010626,1.46115,10998.1,-4941.57,54.7188,626.851,0.0415611,1.46923,0.000379679
22,0.0136441,1.49455,10999.1,-3889.69,54.6996,638.93,0.0402232,1.53805,0.00130689
22,0.0112988,1.43529,10068.1,-4808.33,54.9806,649.999,0.0428963,1.46391,0.000450079
22,0.0126927,1.47499,10999,-4058.49,53.1971,634.97,0.0407211,1.50211,0.000927524
22,0.0101983,1.43613,10999.4,-5017.5,54.1497,629.187,0.0418213,1.48718,0.000645431
22,0.0104732,1.44932,10981.4,-4954.38,53.7974,629.878,0.0423154,1.49209,0.000543827
