,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0,0.00809367,0.439085,6599.87,-3875.5,32.1699,809.813,0.0607288,0.449316,-0.000203575,0.000516568
1,0.0086162,0.392091,6599.86,-3875.5,33.9206,805.646,0.0597805,0.427967,5.17667e-05,-0.0208319
2,0.00892683,0.453412,6599.85,-3875.5,35.5205,800.803,0.0585648,0.460584,0.000215548,0.0117848
3,0.00861794,0.479265,6599.86,-3875.5,34.7079,802.817,0.0588596,0.467856,-0.000119526,0.0190568
4,0.00814121,0.404315,6599.87,-3875.5,32.5742,809.189,0.0607571,0.437891,0.000130481,-0.0109076
5,0.00856756,0.431357,6599.86,-3875.5,34.1117,804.932,0.0595884,0.444835,-0.000304405,-0.00396421
6,0.0082112,0.488124,6599.87,-3875.5,32.8225,808.52,0.0608144,0.469235,0.000112048,0.0204358
7,0.00809864,0.464065,6599.87,-3875.5,32.4035,809.398,0.0607577,0.456327,-5.58913e-05,0.00752851
8,0.00841655,0.41696,6599.86,-3875.5,33.654,806.411,0.0601186,0.43725,0.000304864,-0.0115491
9,0.00838077,0.403586,6599.86,-3875.5,33.2115,807.427,0.0602665,0.43759,-0.000308537,-0.0112089
10,0.00867671,0.481922,6599.85,-3875.5,34.6741,803.089,0.0590384,0.4693,0.000317304,0.0205009
11,0.00863011,0.47847,6599.85,-3875.5,34.456,803.808,0.0593495,0.466472,6.97706e-05,0.0176733
12,0.00849493,0.384747,6599.86,-3875.5,33.7903,806.028,0.059832,0.426102,-6.78127e-05,-0.022697
13,0.00824008,0.508437,6599.87,-3875.5,33.4236,806.864,0.0602534,0.475052,0.000104701,0.0262531
14,0.00884642,0.474764,6599.85,-3875.5,35.271,801.677,0.0590179,0.47004,0.000363708,0.0212414
15,0.00861839,0.495585,6599.86,-3875.5,34.5816,803.57,0.0593471,0.474224,0.000122536,0.0254249
16,0.00828027,0.4529,6599.87,-3875.5,32.8725,807.875,0.0600336,0.454137,5.0528e-05,0.0053376
17,0.00826801,0.40481,6599.87,-3875.5,33.0066,807.883,0.0602074,0.43683,0.000147252,-0.0119694
18,0.00877431,0.481122,6599.85,-3875.5,34.7951,802.864,0.0590983,0.471698,0.000145533,0.022899
19,0.00860095,0.423558,6599.86,-3875.5,34.528,803.861,0.0594209,0.442493,3.15618e-05,-0.00630552
20,0.00881572,0.425623,6599.85,-3875.5,35.0314,802.383,0.0589725,0.440802,-1.09045e-05,-0.00799668
