hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
42,0.0132764,3.12154,6959.56,-4235.99,56.7148,732.616,0.0469465,3.16412,0.000134208
42,0.0125508,3.12502,10999.1,-4422.55,56.6335,623.543,0.0396639,3.11679,-0.000100333
42,0.0123985,-3.11802,10999.2,-4612.47,59.9352,620.487,0.0388704,3.13658,-0.00016742
42,0.0130652,3.13571,8534.71,-4405.03,58.9002,681.525,0.0437011,3.19061,0.000577471
42,0.0122105,3.13141,10629.5,-4731.39,56.9271,650.07,0.0422773,3.13336,-5.44088e-05
42,0.0126478,-3.14138,10671.2,-4236.06,56.9626,632.084,0.0398578,3.15001,8.34403e-05
42,0.0130511,3.11617,10996.2,-4451.62,58.6915,793.589,0.0519172,3.13473,-0.000278084
42,0.0128616,3.07955,10999.1,-4599.77,58.9722,630.576,0.0403265,3.11348,5.34691e-05
42,0.0132443,-3.12785,10927.6,-4220.67,57.1568,627.948,0.0394212,3.13027,-0.000151568
42,0.0121713,-3.09762,10992.9,-4707.23,57.6182,629.126,0.0403464,3.18597,0.000217941
42,0.0114085,-3.13666,10999.3,-5094.34,59.8039,620.245,0.0398925,3.12626,-0.000126531
42,0.0126326,-3.09493,10999.1,-4839.96,58.5352,704.883,0.046134,3.17921,0.000273053
42,0.0144156,3.13414,7776.86,-3910.84,57.7671,702.814,0.0440889,3.13091,1.34219e-05
42,0.0131739,3.12403,10266.6,-4209.5,57.7832,640.632,0.0402791,3.09162,-0.000422235
42,0.0125474,-3.1338,10999.2,-4423.79,57.1717,622.82,0.0395923,3.13773,8.1337e-05
42,0.0133011,3.12824,10998.9,-4265.3,58.3563,623.996,0.0390733,3.13226,-0.000155923
42,0.0115181,-3.13754,10880.8,-5074.1,58.9141,620.79,0.040021,3.11466,-0.000202328
42,0.00984895,-3.13601,10999.5,-5093.81,57.5783,657.3,0.0431775,3.155,-2.01375e-05
42,0.0136472,-3.12394,10998.9,-4263.36,57.8971,624.506,0.0392275,3.17272,7.61295e-05
42,0.0142633,3.12558,10840.2,-4082.48,58.8796,628.557,0.0388627,3.14433,-1.3319e-05
42,0.0124709,-3.09171,10999.1,-4661.07,58.8483,626.297,0.0398848,3.17843,0.000266164
42,0.0124491,3.12594,10570.8,-4481.29,59.0831,631.222,0.0397613,3.10703,-0.000207978
42,0.0125695,-3.11722,10999.2,-4428.6,59.7075,622.481,0.0389735,3.15787,7.57372e-05
42,0.0116217,3.13948,10999.3,-4640.23,57.4597,654.992,0.0424522,3.13007,-2.34579e-05
42,0.0131653,-3.08451,10999.1,-4404.34,58.8418,622.727,0.0391112,3.16482,0.000116439
42,0.0143768,-3.13472,10992.3,-3890.81,57.5985,627.893,0.0386038,3.14419,8.64676e-06
42,0.0127436,-3.11283,10819.4,-4423.95,57.21,676.351,0.0435584,3.16585,0.000230847
42,0.0141714,-3.13622,10999,-3956.13,57.538,627.409,0.038861,3.15727,0.000299517
42,0.0131871,-3.13824,10998.9,-4367.82,59.2587,622.855,0.0387187,3.1226,-0.00038475
42,0.0129455,-3.13152,10999,-4288.91,57.5619,624.761,0.039289,3.1874,0.000218939
42,0.0110831,3.11925,10999.3,-4798.92,57.0515,620.717,0.0401097,3.12768,-9.08458e-05
42,0.0124747,-3.12325,10999.2,-5050.61,59.1778,619.278,0.0399745,3.14748,0.000197548
42,0.0121905,3.08652,10996.8,-4915.24,59.5115,618.504,0.0395186,3.11637,-8.43978e-05
42,0.0136255,3.12669,10999,-4186.64,58.1569,625.005,0.0388363,3.11264,-0.000162762
42,0.0121687,3.1176,10852.5,-4580.22,58.2875,625.365,0.0396464,3.09965,-0.000248455
42,0.0118939,3.09457,8988.83,-4541.01,57.5331,672.064,0.0433153,3.11182,-0.000254435
42,0.0137196,-3.13261,9714.68,-4174.16,57.5408,652.662,0.0412667,3.15089,0.000115361
42,0.0107451,3.12472,10999.4,-5054.17,57.216,618.694,0.0402878,3.1373,0.000153583
42,0.0136374,-2.98682,1854.95,-4075.73,58.4531,984.213,0.0586437,3.19626,0.000601001
42,0.0111847,3.10615,10999.3,-5045.34,58.2289,645.717,0.0421919,3.10601,-0.000305617
42,0.0115933,-3.12732,9230.09,-4953.47,59.4456,677.677,0.0439918,3.138,-0.000104848
42,0.0128585,-3.13584,10524,-4415.94,58.5664,632.435,0.0397896,3.1291,2.12159e-05
42,0.0148855,-3.11721,10953.8,-3876.21,59.3356,629.886,0.0382292,3.19891,0.000301975
42,0.0133896,-3.13074,2747.17,-4298.34,57.1376,944.534,0.0611631,3.15381,-0.000384705
42,0.0130573,3.13122,8521.27,-4134.38,56.8661,684.123,0.0436041,3.1209,-0.000134204
42,0.0118625,3.09968,10999.2,-4680.85,57.7551,622.298,0.0399252,3.10577,-0.000134977
42,0.0140116,-3.12222,10998.8,-3945.5,57.6392,627.58,0.0387813,3.16521,0.000260976
42,0.013142,-3.13259,10999.1,-4441.55,59.0468,622.3,0.0389217,3.13544,7.56479e-05
42,0.0129122,-3.12919,9802.01,-4488.98,58.8136,663.014,0.0422683,3.14889,6.45045e-05
42,0.00934693,2.72293,10999.5,-4893.33,47.8017,660.69,0.0455119,3.06294,-0.000436916
42,0.0121069,-3.10123,10987.3,-4666.77,58.2059,621.746,0.0396285,3.14345,-6.98381e-05
42,0.0115749,3.12356,10999,-4929.14,58.1252,620.371,0.0402595,3.12501,-0.000245851
42,0.0134965,3.11487,10957.6,-4178.68,57.5814,626.144,0.0392227,3.11471,-0.000302302
42,0.012853,-3.13151,10999.1,-4568.24,58.9357,624.298,0.0394865,3.13438,-3.80208e-05
42,0.0143327,3.10226,8301.48,-3991.33,58.2693,688.198,0.0430612,3.08955,-0.000433197
42,0.0135429,3.11686,10999,-4047,56.9233,626.777,0.0389548,3.11183,-0.000186959
42,0.0137309,-3.1208,5207.66,-4095.61,57.2934,799.655,0.0512444,3.10996,-7.69407e-05
42,0.0136555,3.14081,10998.9,-4108.19,57.4132,627.876,0.0391341,3.13827,-0.000125484
42,0.0140302,-3.1365,10996.8,-3967.77,57.2685,627.245,0.0389157,3.15452,8.80412e-05
42,0.0145566,-3.12984,10949.4,-3899.88,58.1935,628.67,0.0384159,3.16161,-0.000285933
42,0.0122237,3.10786,10999.2,-4597.25,58.5528,662.298,0.0425714,3.18162,0.000254866
42,0.0144503,3.14098,10998.9,-3914.87,58.7243,627.372,0.0382948,3.13646,-1.48493e-05
42,0.0130034,3.1102,10999.2,-4359.39,58.0496,626.014,0.0394217,3.10201,-0.000197667
42,0.0120377,3.05164,10999.1,-4777.58,57.9623,620.696,0.0399672,3.09972,-0.000111029
42,0.014172,-3.10262,10996.2,-3968.28,57.9285,627.44,0.038763,3.16881,0.000283433
42,0.0143215,-3.13231,10928.5,-3996.99,58.7095,628.067,0.0386342,3.16381,0.000179238
42,0.0127723,3.13172,10848.4,-4593.01,58.8512,624.505,0.0396635,3.11969,8.24198e-07
42,0.014709,3.13001,10998.6,-3879.93,58.7149,627.996,0.0383858,3.12553,-8.82256e-06
42,0.0141284,-3.13879,10998.9,-4054.16,58.6742,625.801,0.0385622,3.14676,0.000116327
42,0.0126502,3.09932,10993.6,-4464.7,58.896,622.806,0.0391501,3.11253,-0.000192686
42,0.013648,-3.12986,10998.4,-4086.5,58.4011,625.728,0.038569,3.16168,9.61294e-05
42,0.0138081,3.1408,10992.3,-3974.51,57.0321,627.127,0.039049,3.14158,-0.000132135
42,0.0100282,3.04642,10999.3,-4777.21,47.4968,626.606,0.0428194,3.05712,-0.000202543
42,0.0145209,-3.12858,10991.2,-3941.69,58.643,627.365,0.0384154,3.15818,-5.11629e-05
42,0.0121714,-3.12701,10919.2,-4600.81,58.6817,623.324,0.0395154,3.1039,-0.000419515
42,0.0144613,-3.13433,7304.21,-4071.25,57.8692,718.5,0.0457807,3.1565,0.000353857
42,0.014139,3.11404,10871.8,-4045.19,58.041,632.87,0.0394559,3.09019,-0.000492207
42,0.0134077,3.13372,10575.2,-4057.16,56.5107,634.984,0.0397794,3.15328,0.000121081
42,0.0140999,3.11714,10998.9,-4083.08,58.8963,625.428,0.0384583,3.131,1.30198e-05
42,0.0123167,3.1387,10993.8,-4481.25,56.7733,628.019,0.0400939,3.12884,-4.71137e-05
42,0.0143654,-3.13462,10985.3,-3982.52,58.1351,626.901,0.0386407,3.14334,5.0494e-05
42,0.0122421,3.11184,10819,-4300.47,59.1379,931.915,0.0590199,3.11863,-3.61083e-05
42,0.0114153,3.10061,10696.4,-4823.01,57.5918,714.824,0.0473515,3.13355,-0.000342115
42,0.0138816,-3.12885,10999,-4108.82,58.1185,625.229,0.0387336,3.13875,-4.13624e-05
42,0.0138858,3.13612,10998.5,-4008.3,56.5091,627.064,0.0391582,3.12497,-0.000153117
42,0.0133712,-3.11493,10992.5,-4156.63,58.1488,625.809,0.0385621,3.18751,0.000227664
42,0.0129046,3.13405,10999.1,-4452.35,57.7348,622.376,0.0394612,3.14828,0.000310934
42,0.0135096,3.13765,10808.8,-4205.84,56.9139,668.27,0.0427663,3.14382,0.000170757
42,0.0111169,3.0989,10216.8,-5016.8,58.1972,636.666,0.0414274,3.14416,-8.54339e-05
