tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0104413,1.23177,4399.91,-4499.87,48.2402,889.447,0.0612613,1.22772,-0.00186495,-0.118676
0.0105533,1.20245,4399.9,-4499.87,48.8885,888.735,0.0608594,1.14979,-0.00173079,-0.196603
0.0103269,1.18116,4399.91,-4499.87,47.0303,895.526,0.061864,1.20757,-0.00130471,-0.13883
0.0107976,1.18458,4399.9,-4499.87,49.1343,886.251,0.0603367,1.17632,-0.00195851,-0.17008
0.0105318,1.1781,4399.9,-4499.87,49.3999,884.675,0.0599876,1.16567,-0.0020914,-0.180725
0.0107798,1.22624,4399.9,-4499.87,49.481,884.344,0.0603978,1.18297,-0.00202472,-0.163427
0.0105174,1.26954,4399.9,-4499.87,48.7697,886.418,0.0605085,1.22593,-0.00135287,-0.12047
0.0108619,1.17847,4399.9,-4499.87,49.5397,884.643,0.0597869,1.16348,-0.00226657,-0.182922
0.0102611,1.14595,4399.91,-4499.87,47.2151,896.211,0.0616153,1.16973,-0.0022412,-0.176666
0.0105437,1.27372,4399.9,-4499.87,49.3089,883.842,0.0599707,1.19679,-0.00194296,-0.149612
0.0103447,1.18766,4399.91,-4499.87,47.7109,891.65,0.0607498,1.1989,-0.00148178,-0.147496
0.0102637,1.2058,4399.91,-4499.87,47.7567,892.8,0.0612438,1.18086,-0.00183745,-0.165534
0.0110838,1.18897,4399.89,-4499.87,49.1844,887.391,0.0603482,1.15787,-0.00203503,-0.188525
0.0107393,1.19931,4399.9,-4499.87,48.4106,889.818,0.060428,1.17643,-0.00202724,-0.169966
0.0104804,1.19244,4399.9,-4499.87,48.3254,890.867,0.0609859,1.16196,-0.00230583,-0.184432
0.0105747,1.19083,4399.9,-4499.87,48.4034,888.875,0.0608989,1.20216,-0.00228913,-0.144235
0.0102967,1.2361,4399.91,-4499.87,47.8567,890.383,0.060419,1.22286,-0.0016689,-0.123538
0.0104467,1.21907,4399.91,-4499.87,48.0435,892.246,0.0609704,1.16277,-0.0025414,-0.183625
0.0104578,1.22315,4399.91,-4499.87,47.8221,891.328,0.061152,1.2253,-0.000820713,-0.121095
0.0104491,1.21318,4399.9,-4499.87,47.7521,892.405,0.0612751,1.19498,-0.00171838,-0.151417
0.0105927,1.16229,4399.9,-4499.87,48.7058,889.177,0.0607981,1.16288,-0.00186557,-0.183516
0.0103368,1.18228,4399.91,-4499.87,47.4067,895.545,0.0616789,1.16745,-0.00185859,-0.178943
0.0108288,1.17654,4399.9,-4499.87,49.4354,881.439,0.059579,1.19883,-0.0021426,-0.147567
0.010311,1.10229,4399.91,-4499.87,47.9314,891.575,0.0611309,1.20766,-0.00141494,-0.138738
0.0102709,1.18817,4399.91,-4499.87,46.982,896.649,0.0613874,1.17942,-0.00164826,-0.166981
0.0108296,1.21979,4399.9,-4499.87,49.494,883.81,0.0600679,1.18479,-0.00205272,-0.161606
0.010765,1.17119,4399.9,-4499.87,47.8049,892.752,0.0611782,1.18622,-0.00182324,-0.160177
0.0107236,1.19251,4399.9,-4499.87,49.2545,887.127,0.0602432,1.18032,-0.00214575,-0.166081
0.0104185,1.25631,4399.91,-4499.87,49.1172,884.649,0.0601027,1.20776,-0.00158756,-0.138638
