hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
13,0.0176885,-0.536061,2199.93,-4499.9,83.0337,872.003,0.0494053,5.4958,-0.00544363
13,0.0172299,2.11281,2199.94,-4499.91,76.3531,890.987,0.0522687,1.89992,-0.00601856
13,0.0176229,-0.567889,2199.93,-4499.97,82.7645,876.241,0.0489119,5.52247,-0.00553793
13,0.0175672,0.618878,2199.93,-4499.92,81.2525,874.275,0.0488863,0.809294,0.00579072
13,0.017955,2.05567,2199.93,-4499.98,77.0807,887.541,0.0509181,1.89486,-0.00557495
13,0.018353,0.592477,2199.93,-4499.99,82.6174,875.116,0.0493864,0.781021,0.00529533
13,0.0171841,0.592037,2199.94,-4499.84,82.0316,870.164,0.0489244,0.819288,0.00643437
13,0.0173046,-0.580976,2199.93,-4499.93,81.7922,875.059,0.0498005,5.4883,-0.00662849
13,0.0176684,2.1088,2199.93,-4499.87,78.0874,892.266,0.051347,1.96411,-0.00565123
13,0.0174566,0.644148,2199.93,-4499.75,81.7813,874.921,0.049508,0.792572,0.00584439
13,0.0169978,2.10283,2199.94,-4499.87,78.6281,886.086,0.0517274,1.92497,-0.0060483
13,0.0165338,2.07601,2199.94,-4499.91,77.4194,886.323,0.0514937,1.90655,-0.00572967
13,0.0177267,0.556792,2199.93,-4499.85,80.9314,882.911,0.0499725,0.755974,0.00532603
13,0.018249,-0.557098,2199.93,-4499.86,82.1553,883.544,0.0513847,5.54601,-0.0057575
13,0.0173283,-0.598276,2199.93,-4499.92,81.4952,870.747,0.0491925,5.45851,-0.00636251
13,0.0186716,0.637428,2199.92,-4499.79,83.2278,879.206,0.0490462,0.736362,0.00491799
13,0.0176852,-0.5798,2199.93,-4499.84,82.0134,882.854,0.0501612,5.55298,-0.00477184
13,0.0165099,2.07318,2199.94,-4499.86,76.9652,884.998,0.0509128,1.88837,-0.00651357
13,0.0166386,2.09683,2199.94,-4499.84,77.3325,893.261,0.0513762,1.96782,-0.00448407
13,0.0177305,0.594912,2199.93,-4499.9,83.1217,873.055,0.0472672,0.766844,0.0027811
13,0.0180818,0.582615,2199.93,-4499.93,82.4122,881.686,0.0498947,0.736611,0.00485113
13,0.0184013,-0.583818,2199.93,-4499.86,83.1966,874.676,0.049033,5.51523,-0.00619149
13,0.0171951,2.12084,2199.94,-4499.8,78.4959,894.527,0.0522945,1.93874,-0.00536242
13,0.0177738,-0.59793,2199.93,-4499.83,81.9895,880.069,0.0492848,5.535,-0.00471667
13,0.016445,2.09154,2199.94,-4499.75,77.6528,890.741,0.0509379,1.95605,-0.00471296
13,0.0177517,-0.633185,2199.93,-4499.78,81.5742,875.615,0.0494504,5.49168,-0.00596628
13,0.0174757,-0.547972,2199.93,-4499.86,81.6484,883.331,0.0511499,5.54349,-0.00539997
13,0.0171186,2.10299,2199.94,-4499.86,78.7848,889.559,0.0517722,1.96207,-0.00525865
13,0.0163597,2.08607,2199.94,-4499.75,78.436,891.776,0.050884,1.98969,-0.0046008
13,0.0181931,0.564337,2199.93,-4500,81.0501,882.45,0.0500876,0.762403,0.00581957
13,0.016555,2.13744,2199.94,-4499.91,76.8307,890.699,0.0511486,1.92939,-0.00509549
13,0.0177763,-0.559118,2199.93,-4499.8,81.6459,876.961,0.0492247,5.50193,-0.00576963
13,0.0174996,-0.59425,2199.93,-4499.77,81.6535,870.419,0.0496692,5.45492,-0.00682535
13,0.0186088,-0.596588,2199.92,-4499.99,83.1874,878.627,0.049961,5.53857,-0.00527756
13,0.0171641,2.08372,2199.94,-4499.89,77.1163,887.915,0.0515416,1.90148,-0.00555333
13,0.0175344,0.608317,2199.93,-4499.76,82.9995,873.566,0.0492692,0.7768,0.00626067
13,0.0177157,0.567264,2199.93,-4500,80.8852,885.148,0.0515276,0.74673,0.00499441
13,0.0171115,2.12398,2199.94,-4499.94,78.5264,889.683,0.0506445,1.96797,-0.0039546
13,0.0181736,0.61605,2199.93,-4499.8,83.0832,875.415,0.0492273,0.764152,0.00508947
13,0.0173778,-0.586051,2199.93,-4499.84,80.8923,883.59,0.0499535,5.53845,-0.00427004
13,0.0170142,2.12524,2199.94,-4499.85,76.9474,893.247,0.0515396,1.94835,-0.0055307
13,0.0171181,2.09805,2199.94,-4499.83,78.6067,884.092,0.0504474,1.915,-0.00581636
13,0.0176542,0.615584,2199.93,-4499.97,82.2691,882.328,0.0503986,0.733107,0.0047152
13,0.0168858,0.594844,2199.94,-4499.81,80.7312,876.722,0.050065,0.800397,0.0060556
13,0.0170041,2.08301,2199.94,-4499.85,76.7825,890.931,0.0517069,1.91994,-0.00671809
13,0.0176236,-0.608277,2199.93,-4499.9,82.9528,872.456,0.0494494,5.49718,-0.00522346
13,0.0175046,-0.581217,2199.93,-4499.8,80.9878,884.146,0.0490421,5.54638,-0.00467673
13,0.0173642,2.0869,2199.93,-4499.85,79.0397,887.897,0.0513045,1.9568,-0.00523479
13,0.0171814,-0.616023,2199.93,-4499.78,82.5877,872.1,0.049068,5.49321,-0.00571959
13,0.0178744,-0.579944,2199.93,-4499.89,82.4975,883.831,0.0491862,5.57347,-0.00509608
13,0.0167143,2.12978,2199.94,-4499.87,76.2295,893.59,0.0529491,1.91974,-0.00662411
