hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
52,0.0122879,-2.14355,2199.97,-4499.84,54.0173,995.212,0.0645102,4.28693,0.00575105
52,0.011629,-2.08173,2199.97,-4499.92,54.46,987.332,0.0626657,4.32961,0.00483194
52,0.0113471,-2.08486,2199.97,-4499.76,54.3152,991.339,0.0638971,4.22683,0.00310998
52,0.0125163,-2.12532,2199.97,-4499.92,53.985,996.36,0.0632369,4.22674,0.00279519
52,0.0115656,-2.12264,2199.97,-4499.8,52.6878,1002.45,0.0643547,4.27404,0.00314001
52,0.0117845,-2.07065,2199.97,-4499.78,54.2093,989.662,0.0643172,4.33013,0.00449744
52,0.0119341,-2.06437,2199.97,-4499.93,54.5679,987.161,0.0629829,4.31292,0.00414823
52,0.0113987,-2.12101,2199.97,-4499.97,52.9731,1000.5,0.0639386,4.23241,0.00402604
52,0.0118678,-2.11923,2199.97,-4499.86,53.5295,997.529,0.0639041,4.24332,0.00361738
52,0.0118294,-2.07565,2199.97,-4499.84,52.9458,1001.06,0.0640426,4.23412,0.00288539
52,0.0114833,-2.08399,2199.97,-4499.76,53.8765,994.491,0.0634264,4.21484,0.00299747
52,0.0110363,-2.08581,2199.97,-4499.91,53.6138,991.814,0.0631409,4.30219,0.00442909
52,0.0116258,-2.09623,2199.97,-4499.89,53.7179,996.114,0.0633347,4.20677,0.00369091
52,0.0119591,-2.16028,2199.97,-4499.85,53.907,995.979,0.0639886,4.23579,0.0035494
52,0.0116978,-2.12334,2199.97,-4500,55.6576,983.065,0.0615201,4.24198,0.00330603
52,0.0111778,-2.16164,2199.97,-4499.92,53.3181,999.366,0.0641103,4.23177,0.00363342
52,0.0121566,-2.16237,2199.97,-4499.89,54.9001,988.951,0.0623747,4.2382,0.00304652
52,0.0118116,-2.21851,2199.97,-4499.96,54.1094,993.041,0.0640708,4.26423,0.00501072
52,0.0117047,-2.0749,2199.97,-4499.96,54.7591,985.696,0.0622585,4.32282,0.00496817
52,0.0113823,-2.04686,2199.97,-4499.79,54.0881,991.007,0.0634266,4.28168,0.00448566
52,0.0122115,-2.13447,2199.97,-4499.78,54.5976,992.102,0.0631357,4.21858,0.00334063
52,0.0112248,-2.0885,2199.97,-4499.91,53.0075,997.686,0.0651593,4.30127,0.00627564
52,0.0116427,-2.10734,2199.97,-4499.77,53.1319,998.93,0.0642877,4.27025,0.00390827
52,0.0115252,-2.04573,2199.97,-4499.83,53.1079,997.921,0.0641795,4.27318,0.00345857
52,0.0121149,-2.12929,2199.97,-4499.85,54.2475,993.735,0.0634794,4.22706,0.00214815
52,0.0111409,-2.07328,2199.97,-4499.84,52.9939,998.184,0.0642985,4.28447,0.00379043
52,0.0123464,-2.12111,2199.97,-4499.98,55.8361,984.196,0.0628327,4.2554,0.00303734
52,0.0124252,-2.10699,2199.97,-4499.9,54.7753,986.804,0.0629271,4.30725,0.00416365
52,0.0114072,-2.04748,2199.97,-4499.95,53.4869,993.11,0.0626301,4.31083,0.00404415
52,0.0114506,-2.1077,2199.97,-4499.89,55.2215,984.825,0.0616788,4.22588,0.00256243
52,0.0125377,-2.15183,2199.97,-4499.98,55.0514,989.547,0.062767,4.23982,0.0038662
52,0.0115108,-2.14768,2199.97,-4499.91,53.3757,997.979,0.064142,4.22766,0.00288997
52,0.0117673,-2.12863,2199.97,-4499.92,54.4646,988.893,0.0631946,4.33188,0.00497001
52,0.0118832,-2.04463,2199.97,-4499.9,54.6716,985.959,0.0627911,4.32247,0.00397826
52,0.0116093,-2.14797,2199.97,-4499.88,54.6469,989.462,0.062265,4.24612,0.00365506
52,0.0117267,-2.1136,2199.97,-4499.82,53.4032,998.494,0.0638407,4.21003,0.003176
52,0.0114568,-2.08091,2199.97,-4499.89,53.3256,994.783,0.0644084,4.31394,0.00468448
52,0.0116444,-2.12422,2199.97,-4499.88,53.4387,995.501,0.0636879,4.30017,0.00498851
52,0.0114303,-2.08055,2199.97,-4499.8,52.6577,1001.53,0.0641774,4.24742,0.00367208
52,0.0117605,-2.1398,2199.97,-4499.75,53.4342,996.788,0.0624098,4.26763,0.00404622
52,0.0118621,-2.15666,2199.97,-4499.89,55.0396,987.936,0.0632083,4.23877,0.00374602
52,0.0119088,-2.08453,2199.97,-4499.99,54.8822,985.699,0.062189,4.30527,0.00463774
52,0.0114974,-2.02879,2199.97,-4499.8,52.5014,1003.28,0.0651566,4.23958,0.00312635
52,0.011974,-2.11057,2199.97,-4499.88,55.3731,985.158,0.0626094,4.26092,0.00323824
52,0.0116512,-2.16299,2199.97,-4499.92,54.4433,991.1,0.0630164,4.22237,0.00268389
52,0.0113262,-2.13761,2199.97,-4499.79,54.4546,990.292,0.0630705,4.23736,0.0035175
52,0.0125402,-2.02661,2199.97,-4499.92,54.8046,988.13,0.0629802,4.30244,0.0042231
52,0.0109589,-2.0637,2199.97,-4499.98,53.149,994.776,0.0649528,4.31314,0.00412867
52,0.0112658,-2.03402,2199.97,-4499.84,53.2768,993.915,0.0628194,4.31077,0.00438314
52,0.0116477,-2.05246,2199.97,-4499.75,54.5153,988.082,0.0632054,4.29285,0.00419135
52,0.0123355,-2.06988,2199.97,-4499.92,55.5703,982.265,0.0624407,4.33222,0.00546278
52,0.0116149,-2.10686,2199.97,-4499.98,53.7285,994.871,0.0630563,4.23928,0.00406272
52,0.0115878,-2.0939,2199.97,-4499.83,54.0633,990.196,0.0630905,4.31336,0.00431605
52,0.0115693,-2.12645,2199.97,-4499.87,54.03,998.718,0.0632205,4.32713,0.00532169
52,0.0117034,-2.11514,2199.97,-4499.92,53.8149,992.902,0.0643883,4.3092,0.00402182
52,0.0118309,-2.14499,2199.97,-4499.98,53.272,998.899,0.0646502,4.24033,0.00297935
52,0.0112978,-2.24203,2199.97,-4499.79,54.5407,988.242,0.0624504,4.27844,0.00401042
52,0.0113849,-2.04686,2199.97,-4499.85,54.9379,985.064,0.0620853,4.28241,0.00402027
52,0.0104461,-2.09271,2199.98,-4499.96,52.458,1000.78,0.0640837,4.24129,0.00299878
52,0.0113845,-2.12707,2199.97,-4499.94,54.1504,992.189,0.0628474,4.24204,0.00353247
52,0.0120598,-2.09025,2199.97,-4499.96,55.2013,986.445,0.0629305,4.27462,0.00485906
52,0.0108712,-2.13905,2199.97,-4499.95,52.567,1000.07,0.0643935,4.28101,0.00413335
52,0.0116837,-2.13867,2199.97,-4499.87,53.0106,998.25,0.0640343,4.2935,0.00369012
52,0.0122459,-2.16984,2199.97,-4499.81,54.3575,995.021,0.0643666,4.21113,0.00300591
52,0.0119804,-2.23901,2199.97,-4499.96,55.952,980.427,0.0613573,4.29324,0.003559
52,0.0123875,-2.13117,2199.97,-4499.81,54.2449,995.619,0.0637429,4.20085,0.00322056
52,0.0119814,-2.04226,2199.97,-4499.79,54.5388,988.712,0.0632943,4.29852,0.00420906
52,0.0119097,-2.03505,2199.97,-4499.87,53.7293,994.162,0.0643085,4.30948,0.00429937
52,0.0112434,-2.12252,2199.97,-4499.95,54.3969,988.629,0.0619503,4.25942,0.00334814
52,0.0113368,-2.12311,2199.97,-4499.94,54.1273,988.448,0.0633005,4.34466,0.00553343
52,0.0115146,-2.14028,2199.97,-4499.97,53.6419,994.936,0.0632535,4.25683,0.00337379
52,0.012119,-2.10534,2199.97,-4499.93,55.3828,982.299,0.0624207,4.3361,0.00530714
52,0.0121732,-2.16515,2199.97,-4499.93,55.0075,988.331,0.0617436,4.23878,0.00355643
52,0.0123632,-2.13348,2199.97,-4499.75,54.8764,990.331,0.0634607,4.25275,0.00341734
52,0.0117821,-2.14439,2199.97,-4499.83,54.0963,992.337,0.0631196,4.27804,0.00448134
52,0.0118201,-2.06761,2199.97,-4499.87,53.6767,993.473,0.0642255,4.32408,0.00528823
52,0.0119096,-2.09694,2199.97,-4499.99,54.5866,990.425,0.0632518,4.23961,0.00360354
52,0.0116424,-2.08147,2199.97,-4499.87,53.9175,992.67,0.0634727,4.27691,0.00416439
52,0.012503,-2.0839,2199.97,-4499.91,55.9366,982.764,0.062506,4.29973,0.00451153
52,0.0120887,-2.09027,2199.97,-4499.86,55.0719,986.556,0.0626303,4.27174,0.00308658
52,0.0120595,-2.0562,2199.97,-4499.94,53.3739,995.229,0.0636763,4.3083,0.00396662
52,0.0119823,-2.15919,2199.97,-4499.85,54.4936,993.383,0.0638846,4.21302,0.00344374
52,0.0117857,-2.10376,2199.97,-4499.86,53.6233,996.441,0.0639639,4.24613,0.00337122
52,0.0118628,-2.07951,2199.97,-4499.95,53.8445,995.523,0.0638953,4.23196,0.00314773
52,0.0116132,-2.13114,2199.97,-4499.98,53.3698,994.952,0.0643325,4.32339,0.00477284
52,0.011385,-2.11083,2199.97,-4499.84,54.2234,991.71,0.0635763,4.2491,0.00328388
52,0.0113614,-2.13519,2199.97,-4499.97,55.6001,979.563,0.0627827,4.33692,0.0042096
52,0.0121827,-2.05929,2199.97,-4499.97,55.8519,982.16,0.0623049,4.31241,0.00443047
52,0.0111459,-2.04991,2199.97,-4499.96,53.0412,996.959,0.06374,4.29265,0.00503327
52,0.0120862,-2.02637,2199.97,-4499.83,52.9202,999.877,0.0645363,4.29408,0.00404595
52,0.0120327,-2.12672,2199.97,-4499.94,52.7726,1002.87,0.064841,4.24928,0.00209968
52,0.0119902,-2.06368,2199.97,-4499.89,55.4117,985.582,0.0631179,4.258,0.00376394
52,0.0121728,-2.13198,2199.97,-4499.87,54.1537,993.874,0.0633285,4.25227,0.00402849
52,0.0116773,-2.11668,2199.97,-4499.82,53.1407,999.775,0.063907,4.23028,0.00408884
52,0.0112584,-2.10901,2199.97,-4499.95,52.846,1000.77,0.0641251,4.24772,0.00279379
52,0.0121155,-2.10511,2199.97,-4499.9,54.5396,990.783,0.0633029,4.28913,0.00438713
52,0.01188,-2.14732,2199.97,-4499.96,53.6715,996.503,0.0638173,4.2621,0.00371675
52,0.0119362,-2.09799,2199.97,-4499.86,53.3504,996.22,0.0641486,4.31316,0.00504231
52,0.0118012,-2.17357,2199.97,-4499.96,54.6928,989.374,0.0629618,4.25706,0.00378473
52,0.0115249,-2.01245,2199.97,-4499.84,54.4521,986.942,0.0641825,4.33013,0.00456764
52,0.0111084,-2.03077,2199.97,-4499.92,54.5701,985.124,0.0624742,4.33559,0.00489471
52,0.011001,-2.17107,2164.14,-4499.75,53.638,996.39,0.0626045,4.21178,0.00286686
52,0.0121275,-2.1357,2199.97,-4499.86,54.5666,989.565,0.0633938,4.29604,0.0046727
52,0.011329,-2.09015,2199.97,-4499.95,54.1617,987.371,0.0636813,4.33431,0.00436755
52,0.0122834,-2.08992,2199.97,-4499.76,55.7211,983.578,0.0621871,4.26899,0.00432498
52,0.0120586,-2.05934,2199.97,-4499.91,55.0224,987.561,0.0629174,4.27008,0.00476219
52,0.0120211,-2.08681,2199.97,-4499.91,55.4066,984.992,0.0621365,4.23865,0.00343291
52,0.0119015,-2.14276,2199.97,-4499.89,53.5124,998.718,0.0639863,4.25401,0.0035623
52,0.0108471,-2.15113,2199.97,-4499.79,53.3143,992.333,0.0636353,4.33589,0.00490077
52,0.0118664,-2.05462,2199.97,-4499.78,53.8495,992.011,0.0636647,4.32312,0.00470938
52,0.0123516,-2.04745,2199.97,-4499.86,54.6916,987.237,0.0625021,4.32376,0.00457182
52,0.0126333,-2.1173,2199.97,-4499.99,55.5086,985.351,0.0617951,4.26806,0.00350609
52,0.0120747,-2.14295,2199.97,-4499.99,53.9859,993.505,0.0635616,4.29508,0.00443766
52,0.0122047,-2.13282,2199.97,-4499.86,55.681,983.613,0.0626314,4.28434,0.00370538
52,0.0123237,-2.07327,2199.97,-4499.84,55.151,985.123,0.0622904,4.31634,0.00467858
52,0.011452,-2.06365,2199.97,-4499.92,53.1549,996.317,0.0642338,4.2987,0.00373572
52,0.0117299,-2.12775,2199.97,-4499.85,53.0743,1000.22,0.0645598,4.23435,0.00293224
52,0.011569,-2.09746,2199.97,-4499.96,54.8666,983.116,0.0624685,4.33848,0.00565632
52,0.00985466,-2.16145,2199.98,-4499.78,55.6242,978.08,0.061485,4.25819,0.0033957
52,0.0113674,-2.09406,2199.97,-4499.83,52.8795,999.746,0.0641546,4.26576,0.00349396
52,0.0117149,-2.11283,2199.97,-4499.75,53.4095,998.927,0.0634515,4.24338,0.00328425
52,0.011538,-2.08564,2199.97,-4499.92,52.4661,1003.06,0.0647885,4.26828,0.00432481
52,0.0118681,-2.12791,2199.97,-4499.92,54.7531,989.739,0.0629739,4.22828,0.00331781
52,0.0119219,-2.145,2199.97,-4499.89,53.1993,999.243,0.0636122,4.2336,0.00315481
52,0.0114277,-2.05868,2199.97,-4499.97,54.2878,990.556,0.0627137,4.26056,0.00392727
52,0.0113396,-2.06607,2199.97,-4499.96,53.9013,991.677,0.0636858,4.2868,0.00384779
52,0.0114222,-2.13548,2199.97,-4499.96,54.8539,986.389,0.0625342,4.27997,0.00429789
52,0.0123092,-2.12928,2199.97,-4499.82,56.0138,981.16,0.0616862,4.28241,0.00488251
52,0.0113883,-2.07989,2199.97,-4499.94,52.5433,1001.28,0.0637687,4.27828,0.00355535
52,0.0120196,-2.11542,2199.97,-4499.98,53.6314,997.89,0.0635737,4.20131,0.00303626
52,0.0117624,-2.08174,2199.97,-4499.83,53.0073,1001.16,0.0652901,4.23874,0.00375974
52,0.0114357,-2.14669,2199.97,-4499.89,53.0076,997.484,0.063328,4.29768,0.00434844
52,0.0120961,-2.11339,2199.97,-4499.94,54.4882,990.217,0.0634227,4.28086,0.00382019
52,0.0121269,-2.11985,2199.97,-4499.91,54.0959,994.491,0.0631591,4.25947,0.00431503
52,0.0114418,-2.12216,2199.97,-4499.92,53.0316,999.504,0.0637794,4.2234,0.00304453
52,0.0120515,-2.13422,2199.97,-4499.78,54.8477,990.723,0.0634135,4.21176,0.00332267
52,0.0116783,-2.14954,2199.97,-4499.84,54.1947,999.584,0.0627832,4.31389,0.00422607
52,0.0115521,-2.07717,2199.97,-4499.89,52.6996,1001.41,0.0644403,4.26841,0.00391389
52,0.0119333,-2.2228,2199.97,-4499.93,54.9601,988.901,0.0634541,4.24982,0.00371821
52,0.0123213,-2.10545,2199.97,-4499.9,55.2859,987.19,0.0628942,4.22469,0.00311684
52,0.0125509,-2.10418,2199.97,-4499.88,55.3803,987.135,0.0632922,4.27656,0.00419715
52,0.0115333,-2.09818,2199.97,-4499.91,54.4208,991.303,0.0632459,4.22256,0.00288375
52,0.0119442,-2.03908,2199.97,-4499.89,53.7014,1007.75,0.0635027,4.27372,0.00333368
52,0.0117788,-2.13613,2199.97,-4499.92,55.4515,983.578,0.0617565,4.26383,0.00435763
52,0.0115326,-2.06175,2199.97,-4499.96,54.0223,992.829,0.0637191,4.24247,0.00397583
52,0.0122143,-2.1915,2199.97,-4499.92,54.2513,994.129,0.0635275,4.22013,0.00305529
52,0.012068,-2.03286,2199.97,-4499.83,55.1506,983.642,0.0620703,4.32026,0.00541837
