tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.00945241,2.95527,4399.92,-5124.5,49.6653,894.715,0.0613584,2.97176,-0.00201309,-0.169831
0.00919316,2.97546,4399.93,-5124.5,49.3939,896.572,0.0619837,2.95793,-0.00191787,-0.183663
0.00916509,3.02313,4399.93,-5124.5,47.7495,902.754,0.0632072,3.03254,-0.00119362,-0.109049
0.00975044,2.98218,4399.92,-5124.5,49.7056,896.346,0.0620768,2.97193,-0.00145783,-0.169665
0.00885457,3.01355,4399.93,-5124.5,47.2474,904.886,0.0634479,3.02199,-0.00102434,-0.119605
0.00989548,2.99964,4399.92,-5124.5,48.3548,901.871,0.0624975,3.02387,-0.00112053,-0.117725
0.00916487,2.97596,4399.93,-5124.5,47.6573,904.181,0.0631366,2.98568,-0.00177635,-0.15591
0.00905417,2.97185,4399.93,-5124.5,48.3561,900.154,0.0625384,2.99878,-0.00154431,-0.142809
0.00947833,2.99131,4399.92,-5124.5,49.6298,894.764,0.0620725,3.00869,-0.00138084,-0.132901
0.0096371,3.0056,4399.92,-5124.5,48.5275,900.446,0.0624835,3.01383,-0.0016379,-0.127764
0.00913234,2.96629,4399.93,-5124.5,47.7656,910.871,0.0635482,2.98477,-0.00205558,-0.156818
0.00942266,3.02337,4399.92,-5124.5,49.774,893.64,0.0617419,3.00894,-0.00152057,-0.132649
0.00933053,3.0077,4399.92,-5124.5,49.4537,894.298,0.0614361,3.02166,-0.00171631,-0.119928
0.00887064,3.04895,4399.93,-5124.5,47.3637,904.002,0.0631825,3.01505,-0.000984471,-0.126544
0.00906262,3.05754,4399.93,-5124.5,47.9881,910.593,0.0634126,3.0145,-0.0012355,-0.127091
0.00878409,3.04186,4399.93,-5124.5,47.3242,903.952,0.0629168,3.01573,-0.00101636,-0.125866
0.00894419,2.97153,4399.93,-5124.5,47.1087,905.465,0.0629453,3.0126,-0.00137831,-0.128988
0.00946104,2.99715,4399.92,-5124.5,48.9965,898.383,0.0624889,2.99176,-0.00173831,-0.14983
0.00916389,3.01555,4399.93,-5124.5,48.0674,901.489,0.0626177,3.00303,-0.00127359,-0.138559
0.00917365,3.01665,4399.93,-5124.5,48.1947,901.356,0.0628749,3.00403,-0.00139499,-0.137567
