tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0143224,0.2882,6599.6,-3875.5,56.9645,751.681,0.0478181,0.182435,-0.0032792,-0.266364
0.0146885,0.296965,6599.58,-3875.5,56.8632,749.821,0.0478912,0.228006,-0.00229258,-0.220793
0.0143808,0.297614,6599.6,-3875.5,57.4394,749.617,0.0477707,0.194686,-0.00290477,-0.254113
0.0136914,0.315686,6599.64,-3875.5,54.3905,755.308,0.0486523,0.239794,-0.00261961,-0.209005
0.0139307,0.31357,6599.62,-3875.5,55.1861,753.054,0.0480772,0.238702,-0.00207087,-0.210097
0.0138694,0.305864,6599.63,-3875.5,55.3618,753.166,0.0479808,0.22502,-0.00256531,-0.223779
0.0136603,0.287003,6599.64,-3875.5,54.5047,757.612,0.0490676,0.202652,-0.00260438,-0.246147
0.0142315,0.282587,6599.61,-3875.5,56.2505,754.137,0.0483653,0.178661,-0.00303572,-0.270138
0.0140407,0.32446,6599.62,-3875.5,55.9038,751.246,0.0480365,0.242287,-0.00240564,-0.206511
0.0139079,0.340505,6599.62,-3875.5,55.5401,750.663,0.0483713,0.280484,-0.00191291,-0.168315
0.0143916,0.290774,6599.6,-3875.5,57.3535,750.45,0.0475417,0.181316,-0.00325512,-0.267483
0.0144058,0.298491,6599.6,-3875.5,57.3074,749.886,0.0475921,0.195492,-0.00293423,-0.253307
0.0142961,0.337482,6599.6,-3875.5,56.7292,748.381,0.047842,0.264111,-0.00196151,-0.184688
0.0138451,0.295334,6599.63,-3875.5,55.0631,755.345,0.0487472,0.211415,-0.00282998,-0.237384
0.0137315,0.323944,6599.63,-3875.5,54.7019,753.978,0.0487687,0.256496,-0.00215781,-0.192303
0.0139546,0.333752,6599.62,-3875.5,55.3059,751.995,0.0483265,0.263199,-0.00208149,-0.1856
0.0142757,0.329026,6599.6,-3875.5,56.7508,748.246,0.047595,0.25938,-0.00223141,-0.189419
0.0140738,0.280767,6599.61,-3875.5,55.8729,754.862,0.048241,0.178493,-0.00319131,-0.270306
0.0139914,0.311498,6599.62,-3875.5,55.4611,753.131,0.0482831,0.227336,-0.00233209,-0.221463
0.0137938,0.309646,6599.63,-3875.5,55.1567,753.483,0.0483318,0.234702,-0.00240628,-0.214097
0.0142207,0.336751,6599.61,-3875.5,56.6971,748.354,0.047482,0.259791,-0.0022256,-0.189008
0.013866,0.276302,6599.62,-3875.5,55.0826,757.554,0.0486927,0.174003,-0.00314457,-0.274796
0.0139381,0.308882,6599.61,-3875.5,55.6207,752.71,0.0481538,0.224786,-0.00234249,-0.224013
0.0143532,0.308955,6599.6,-3875.5,56.7826,750.297,0.0484506,0.225624,-0.00253763,-0.223175
0.0142418,0.296213,6599.61,-3875.5,56.9113,751.265,0.0475063,0.188668,-0.00300158,-0.260131
0.0140302,0.343506,6599.61,-3875.5,55.8902,749.45,0.0478387,0.277125,-0.00192078,-0.171674
0.0139089,0.342622,6599.62,-3875.5,55.3644,750.822,0.0480982,0.280231,-0.0016327,-0.168568
0.0140646,0.325917,6599.61,-3875.5,56.1323,749.989,0.0478707,0.254627,-0.00228603,-0.194172
0.0142242,0.30267,6599.61,-3875.5,56.4235,751.643,0.0482387,0.210607,-0.00279164,-0.238192
0.0139127,0.303993,6599.62,-3875.5,54.8707,754.829,0.0485958,0.228828,-0.0024171,-0.219971
0.0143317,0.317241,6599.6,-3875.5,57.0976,748.68,0.0476203,0.230132,-0.00212158,-0.218667
