,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0,0.00850445,0.475259,6599.86,-3875.5,34.3008,805.536,0.0597254,0.445661,6.06462e-05,-0.00313842
1,0.00835155,0.409531,6599.86,-3875.5,33.3143,808.154,0.0600543,0.429061,4.95036e-05,-0.0197377
2,0.00862277,0.491797,6599.86,-3875.5,34.3775,805.134,0.0595513,0.469819,4.86874e-05,0.0210201
3,0.00849286,0.479003,6599.86,-3875.5,33.8385,806.415,0.0596279,0.46261,0.000272281,0.0138106
4,0.00811691,0.4384,6599.87,-3875.5,32.6942,809.666,0.0603818,0.439487,-0.000104121,-0.00931235
5,0.00822244,0.397248,6599.87,-3875.5,32.8879,809.334,0.0603754,0.430264,-0.000135176,-0.0185349
6,0.00806071,0.444204,6599.87,-3875.5,32.4719,810.295,0.0606889,0.447133,5.7447e-05,-0.00166598
7,0.00817778,0.421899,6599.87,-3875.5,32.8121,809.424,0.0603377,0.437491,-0.000263547,-0.011308
8,0.00806391,0.425944,6599.87,-3875.5,32.196,810.938,0.0607443,0.43787,0.000117843,-0.0109294
9,0.00890966,0.441003,6599.85,-3875.5,35.2243,802.565,0.058691,0.444912,-0.000113357,-0.00388744
10,0.00807263,0.503865,6599.87,-3875.5,32.1989,811.029,0.0609396,0.463861,0.000150508,0.0150624
11,0.00816028,0.46981,6599.87,-3875.5,32.8386,809.139,0.0602902,0.457862,-3.23438e-05,0.00906327
12,0.00800711,0.449285,6599.88,-3875.5,32.4391,810.476,0.0607986,0.444471,-6.93802e-05,-0.00432807
13,0.00880168,0.491386,6599.85,-3875.5,35.2009,802.704,0.0590123,0.471004,-3.07003e-05,0.0222046
14,0.00864266,0.430384,6599.86,-3875.5,34.5418,804.575,0.0591967,0.437798,8.78276e-06,-0.0110005
15,0.00839713,0.484782,6599.86,-3875.5,33.4797,807.528,0.0599743,0.461177,0.000155605,0.0123782
16,0.00822878,0.461572,6599.87,-3875.5,32.6323,809.949,0.060806,0.455313,8.36108e-05,0.00651406
17,0.00846096,0.40141,6599.86,-3875.5,33.7164,806.991,0.0597635,0.426887,-3.02376e-06,-0.0219123
18,0.00800296,0.467996,6599.87,-3875.5,32.1997,810.907,0.0607998,0.455609,9.32632e-06,0.00681005
19,0.00883994,0.429127,6599.85,-3875.5,35.4456,802.079,0.0588334,0.43803,0.000296144,-0.0107686
20,0.00828374,0.467723,6599.87,-3875.5,33.106,808.62,0.060295,0.456342,0.000375759,0.00754313
21,0.00862037,0.484612,6599.86,-3875.5,34.5781,804.29,0.0590672,0.468245,-0.000116223,0.0194456
22,0.00897791,0.443486,6599.84,-3875.5,35.5375,802.145,0.0591382,0.44339,0.000175325,-0.00540887
23,0.00887083,0.410769,6599.85,-3875.5,35.1121,803.178,0.0591432,0.427411,-5.36429e-05,-0.0213883
24,0.00868513,0.434185,6599.85,-3875.5,34.8239,803.919,0.0592568,0.445876,-0.000165514,-0.00292275
25,0.0082797,0.469279,6599.87,-3875.5,33.1216,808.513,0.0601596,0.453738,2.97861e-05,0.00493946
26,0.00815746,0.50043,6599.87,-3875.5,32.4644,810.187,0.0606144,0.466345,0.000267734,0.0175465
27,0.00870801,0.506095,6599.85,-3875.5,34.6391,804.586,0.0592731,0.478146,0.000168556,0.0293466
28,0.00862586,0.50078,6599.85,-3875.5,34.0558,805.909,0.0595666,0.473346,0.000128592,0.0245466
29,0.00816099,0.436984,6599.87,-3875.5,32.3154,810.832,0.0608861,0.444261,-1.8244e-05,-0.00453764
30,0.00867169,0.479719,6528.41,-3875.5,34.7097,807.901,0.0595463,0.465785,0.000201557,0.0169863
31,0.00899179,0.454543,6599.84,-3875.5,35.391,802.079,0.0587163,0.451665,-4.97307e-05,0.00286596
32,0.00860744,0.393921,6599.86,-3875.5,34.4403,804.946,0.0592257,0.419328,2.21927e-05,-0.0294714
33,0.00818483,0.527783,6599.87,-3875.5,33.0557,808.691,0.0602277,0.47074,0.000112264,0.0219414
34,0.0085281,0.444957,6599.86,-3875.5,34.1755,805.97,0.0599796,0.443783,-0.000173877,-0.00501591
35,0.00813652,0.491326,6599.87,-3875.5,32.7111,809.614,0.0605313,0.465488,0.000230179,0.0166892
36,0.00833123,0.465619,6599.87,-3875.5,33.3728,807.827,0.0600271,0.457057,0.000156677,0.00825813
37,0.00818397,0.502047,6599.87,-3875.5,32.6159,809.9,0.0605245,0.466211,0.00012001,0.0174125
38,0.00848311,0.468125,6599.86,-3875.5,34.273,805.195,0.0592876,0.456182,0.000211286,0.00738334
39,0.00818936,0.508948,6599.87,-3875.5,32.6776,809.725,0.0603227,0.470746,0.000188163,0.0219475
40,0.00807129,0.437918,6599.87,-3875.5,32.07,811.369,0.0610266,0.445515,0.000225823,-0.00328421
41,0.00843346,0.47054,6599.86,-3875.5,33.4857,807.461,0.0599455,0.458692,0.000366907,0.00989256
42,0.00845954,0.401628,6599.86,-3875.5,33.6784,807.183,0.0600421,0.429141,-0.000165198,-0.0196581
43,0.00832053,0.434622,6599.87,-3875.5,32.7442,809.522,0.060414,0.444336,4.29878e-05,-0.00446283
44,0.00830154,0.47029,6599.87,-3875.5,33.403,807.609,0.0599207,0.456851,-0.000112817,0.008052
45,0.0084867,0.386393,6599.86,-3875.5,33.7617,806.91,0.059731,0.420333,-9.44233e-05,-0.0284655
46,0.00882256,0.404644,6599.85,-3875.5,35.0031,803.392,0.059008,0.426698,6.90596e-07,-0.0221014
47,0.00875221,0.441847,6599.85,-3875.5,34.7778,803.866,0.059073,0.448794,-0.000151856,-5.05711e-06
48,0.00859009,0.406087,6599.86,-3875.5,34.2686,805.324,0.059321,0.432905,-9.09174e-05,-0.0158944
49,0.00811577,0.448161,6599.87,-3875.5,32.2699,810.902,0.0610427,0.451367,-0.000108973,0.0025679
50,0.00802003,0.465058,6599.87,-3875.5,32.1406,811.026,0.060791,0.455095,0.000254726,0.00629608
51,0.0082476,0.497958,6599.87,-3875.5,32.8326,809.178,0.0602779,0.465726,-0.000107421,0.0169269
