hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
53,0.0193137,-2.22557,2199.92,-3875.47,76.6489,904.543,0.0515412,4.07152,0.00122936
53,0.0189132,-2.24653,2199.92,-3875.53,76.1769,906.112,0.0511779,4.02648,-0.000941658
53,0.0197997,-2.2574,2199.92,-3875.62,77.5218,903.232,0.0504556,4.02341,-0.000420439
53,0.0193697,-2.26803,2199.92,-3875.6,77.3896,901.905,0.0494608,4.00148,-0.000691643
53,0.0196141,-2.24036,2199.92,-3875.62,78.4848,901.139,0.0500105,4.03779,-0.000314412
53,0.0195048,-2.24248,2199.92,-3875.61,76.948,903.493,0.0510253,4.08672,0.00119714
53,0.0190303,-2.23468,2199.92,-3875.45,76.136,905.841,0.0518191,4.06285,-0.000543143
53,0.0193999,-2.24823,2199.92,-3875.39,77.1178,903.781,0.0507419,4.03562,3.39314e-05
53,0.0196647,-2.21571,2199.91,-3875.43,78.0541,900.856,0.0498424,4.07644,-0.000228273
53,0.0189737,-2.24175,2199.92,-3875.38,75.8179,906.168,0.0511418,4.04138,2.65567e-05
53,0.019568,-2.25794,2199.92,-3875.56,78.4567,901.641,0.0500589,4.02542,-0.00107915
53,0.0192105,-2.23236,2199.92,-3875.56,76.6161,904.185,0.0507236,4.05535,0.000420147
53,0.0198073,-2.25739,2199.92,-3875.51,78.1074,901.909,0.0501635,4.01968,-0.000921525
53,0.019604,-2.25546,2199.92,-3875.51,77.0297,903.354,0.0509406,3.9963,-0.000386282
53,0.018885,-2.25698,2199.92,-3875.59,76.1332,906.267,0.0519137,4.03831,-0.000137299
53,0.0194288,-2.26007,2199.92,-3875.42,77.5807,902.816,0.0507301,4.01345,-0.000674013
53,0.0195098,-2.22911,2199.92,-3875.48,76.5146,904.797,0.0518304,4.08618,0.00175851
53,0.0193567,-2.24207,2199.92,-3875.57,77.2521,904.39,0.0515768,4.03145,0.000322972
53,0.0194426,-2.2368,2199.92,-3875.44,77.8613,902.49,0.0511468,4.05898,-0.000115122
53,0.019556,-2.2317,2199.92,-3875.44,78.1208,902.155,0.0513685,4.06714,0.00033905
53,0.0196856,-2.22301,2199.92,-3875.58,78.3456,901.031,0.0503514,4.06584,1.57689e-05
53,0.0187528,-2.22654,2199.92,-3875.46,76.1107,904.752,0.0506481,4.07387,0.000627109
53,0.0191614,-2.21351,2199.92,-3875.51,76.8298,903.757,0.0511331,4.08264,0.00077844
53,0.0191818,-2.23367,2199.92,-3875.57,76.7872,903.11,0.0500556,4.08488,0.000543239
53,0.0197773,-2.22083,2199.92,-3875.48,78.014,901.598,0.0505037,4.06993,0.000158064
53,0.0188685,-2.26233,2199.92,-3875.43,76.0466,905.777,0.0513179,4.01067,-0.000542047
53,0.0190978,-2.25778,2199.92,-3875.45,77.0298,904.875,0.0516503,4.02729,-8.50139e-05
53,0.0193301,-2.24396,2199.92,-3875.57,76.9652,904.569,0.0512362,4.03029,-4.15602e-06
53,0.0196685,-2.24894,2199.92,-3875.4,78.0476,902.207,0.0504606,4.02881,-2.84543e-05
53,0.0197101,-2.2502,2199.91,-3875.5,78.1259,902.123,0.0505135,4.02522,-0.000115191
53,0.019338,-2.22103,2199.92,-3875.46,76.8224,904.164,0.0512898,4.06546,0.000681742
53,0.0192983,-2.24202,2199.92,-3875.6,78.2486,901.259,0.0497271,4.03894,-0.000131674
53,0.019239,-2.25278,2199.92,-3875.38,76.7764,904.622,0.050979,4.02221,6.73562e-05
53,0.0191248,-2.26013,2199.92,-3875.41,76.2247,904.987,0.0507063,4.00526,0.000473483
53,0.0192554,-2.23507,2199.92,-3875.43,77.0185,903.273,0.0500737,4.04218,0.000339229
53,0.0199144,-2.25301,2199.91,-3875.57,78.4912,901.508,0.0503788,4.02886,-2.73754e-05
53,0.0194065,-2.23215,2199.92,-3875.58,76.2262,904.873,0.0509563,4.07022,0.000780095
53,0.0194369,-2.22168,2199.92,-3875.45,76.8959,904.403,0.0519007,4.07316,0.00106997
53,0.0195188,-2.25296,2199.92,-3875.54,78.4515,901.058,0.0500427,4.01861,0.000458197
