tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0152319,-2.22809,4399.8,-5124.5,78.8411,788.179,0.0478337,4.03994,-1.44463e-05,0.000750133
0.014392,-2.23866,4399.82,-5124.5,76.6481,793.257,0.0486182,4.06464,0.000226963,0.0254471
0.0148597,-2.23608,4399.81,-5124.5,77.9747,789.593,0.0478804,4.04511,-7.57213e-05,0.00591899
0.0146778,-2.25201,4399.81,-5124.5,76.3837,794.228,0.048447,4.05572,0.000189486,0.0165295
0.0147123,-2.24819,4399.81,-5124.5,76.403,794.678,0.048887,4.05279,-2.80034e-06,0.0136023
0.0152207,-2.26671,4399.8,-5124.5,79.0543,787.242,0.0476926,4.01252,-0.000351475,-0.0266717
0.0148423,-2.25312,4399.81,-5124.5,78.7195,789.993,0.0478583,4.04417,0.000164973,0.00498355
0.0145797,-2.26101,4399.82,-5124.5,77.3282,791.785,0.0484864,4.00672,-0.000553848,-0.0324695
0.0147022,-2.25036,4399.81,-5124.5,77.1357,792.082,0.0482433,4.0413,0.000208162,0.00210783
0.0145766,-2.24314,4399.82,-5124.5,77.2324,791.618,0.0483243,4.07122,0.000853873,0.0320304
0.0150028,-2.20749,4399.81,-5124.5,77.7778,790.819,0.0482702,4.09102,0.000635159,0.0518332
0.0152039,-2.25221,4399.8,-5124.5,78.1316,790.278,0.048481,4.05702,0.000613603,0.0178247
0.0147453,-2.22716,4399.81,-5124.5,78.1326,789.176,0.0478287,4.04819,-1.58518e-05,0.00899798
0.0149322,-2.27184,4399.81,-5124.5,77.5332,791.588,0.0485118,3.99323,-0.000552893,-0.0459561
0.0148064,-2.22274,4399.81,-5124.5,77.3294,792.182,0.0483381,4.09703,0.000893879,0.0578347
0.0150684,-2.28553,4399.8,-5124.5,77.2802,792.646,0.0486151,4.00374,-0.000322846,-0.0354463
0.0149059,-2.2386,4399.81,-5124.5,76.3119,795.087,0.0489244,4.03954,-0.000207563,0.000350875
0.0149054,-2.25495,4399.81,-5124.5,77.9605,789.748,0.04775,4.00275,-0.000664213,-0.0364402
0.0147999,-2.22062,4399.81,-5124.5,77.2869,791.802,0.0480852,4.06904,0.000379854,0.0298482
0.0149685,-2.25134,4399.81,-5124.5,78.0341,790.171,0.0485057,4.07848,0.000838672,0.0392875
0.0145719,-2.2251,4399.82,-5124.5,76.5971,793.838,0.0487115,4.04288,0.000517786,0.00368781
0.0147488,-2.24746,4399.81,-5124.5,77.5658,791.194,0.048559,4.00875,-0.000613144,-0.0304371
0.0144832,-2.26139,4399.82,-5124.5,76.2001,794.661,0.0487954,4.06466,4.47267e-05,0.0254706
0.0145096,-2.23269,4399.82,-5124.5,76.6382,793.732,0.048706,4.07335,0.00100765,0.0341575
0.014709,-2.22298,4399.81,-5124.5,77.8694,790.18,0.0484305,4.08652,0.000952608,0.0473292
0.0146587,-2.23774,4399.81,-5124.5,76.7232,793.717,0.0488681,4.01449,-0.000499838,-0.0247038
0.014766,-2.22533,4399.81,-5124.5,77.3176,791.862,0.0484872,4.08028,0.000771744,0.041092
0.0144814,-2.24586,4399.82,-5124.5,76.8663,792.768,0.0485679,4.02085,-5.84026e-05,-0.0183413
0.0144162,-2.25304,4399.82,-5124.5,76.918,792.583,0.0485479,4.00957,-0.000557107,-0.0296195
0.0151813,-2.22347,4399.8,-5124.5,79.0271,796.283,0.0483644,4.08744,0.000777895,0.0482506
0.0152098,-2.24136,4399.8,-5124.5,78.1049,790.344,0.0482895,4.05664,0.000311895,0.0174487
0.0147579,-2.22082,4399.81,-5124.5,78.579,787.769,0.0474445,4.08321,0.000198754,0.0440234
0.0150224,-2.23473,4399.8,-5124.5,79.022,787.056,0.0474964,4.06849,0.000468437,0.0293044
0.0155219,-2.22419,4399.79,-5124.5,79.378,786.813,0.0477074,4.04785,-4.69657e-05,0.0086581
0.0150135,-2.22929,4399.81,-5124.5,77.4157,792.178,0.0485502,4.10139,0.000633596,0.0621949
0.0146178,-2.21058,4399.82,-5124.5,77.7271,790.189,0.0479535,4.05054,-0.000118795,0.0113533
0.014968,-2.25223,4399.81,-5124.5,78.3372,789.283,0.0479949,4.01985,3.79131e-05,-0.0193399
0.0149557,-2.24345,4399.81,-5124.5,77.2678,792.37,0.0485998,4.01322,-0.000323633,-0.0259729
0.0151845,-2.27396,4399.8,-5124.5,77.6132,791.33,0.0480171,4.07928,0.000401603,0.0400934
