hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
31,0.00925907,-0.473882,4399.93,-3875.39,36.3129,936.341,0.0674585,5.824,-7.37188e-05
31,0.00911473,-0.466435,4399.93,-3875.62,36.1755,937.288,0.0676674,5.82853,-0.000480672
31,0.00896292,-0.448068,4399.93,-3875.58,36.4468,935.267,0.0671327,5.83716,-0.000156205
31,0.00957629,-0.414157,4399.92,-3875.39,38.003,926.454,0.0660752,5.8571,-3.79748e-05
31,0.0094219,-0.451466,4399.92,-3875.49,37.8062,927.289,0.0657203,5.83377,-4.91429e-05
31,0.00962762,-0.45583,4399.92,-3875.52,37.7736,928.042,0.0668341,5.83134,-0.000403616
31,0.00935913,-0.430881,4399.92,-3875.48,37.4715,929.182,0.066174,5.84442,0.000203136
31,0.00954549,-0.498232,4399.92,-3875.53,38.123,925.698,0.06597,5.80773,-0.00071671
31,0.00966671,-0.44708,4399.92,-3875.44,38.5834,923.081,0.0655582,5.8333,-0.000103368
31,0.00950215,-0.487743,4399.92,-3875.38,38.7926,921.677,0.0652997,5.82821,-3.54479e-06
31,0.00901311,-0.481143,4399.93,-3875.44,36.1262,937.366,0.0674379,5.81822,-0.000418069
31,0.00948051,-0.445216,4399.92,-3875.48,37.4108,929.696,0.0665039,5.82929,0.000134004
31,0.00917807,-0.466878,4399.93,-3875.51,36.8721,933.091,0.0671809,5.81684,8.67105e-05
31,0.00971801,-0.412492,4399.92,-3875.54,38.8077,921.963,0.0654376,5.85025,-4.4353e-05
31,0.00908806,-0.406343,4399.93,-3875.47,36.4251,935.728,0.0670357,5.85952,0.000662215
31,0.0091691,-0.500115,4399.93,-3875.42,37.0319,931.785,0.0666643,5.80566,-0.000424415
31,0.00918682,-0.480214,4399.93,-3875.52,36.3802,935.946,0.0672082,5.81293,-0.000156431
31,0.00908612,-0.451446,4399.93,-3875.44,36.4239,935.584,0.0672162,5.82785,-0.00011662
31,0.00927491,-0.483687,4399.93,-3875.48,36.8946,932.123,0.0665303,5.815,8.85501e-05
31,0.00930088,-0.458636,4399.93,-3875.52,36.8259,933.082,0.0669871,5.83011,-0.000165016
31,0.00940226,-0.451006,4399.92,-3875.39,36.8139,933.638,0.0674904,5.8315,-0.00040323
31,0.0090818,-0.478804,4399.93,-3875.48,36.359,936.342,0.0677963,5.81585,-0.000316032
31,0.00948683,-0.503629,4399.92,-3875.61,37.5786,928.817,0.0663198,5.80864,-0.000258862
31,0.00961274,-0.455799,4399.92,-3875.5,38.4218,923.725,0.0654076,5.82677,0.00022247
31,0.00942565,-0.512702,4399.92,-3875.45,37.6514,928.239,0.066005,5.80115,-0.000147505
31,0.0098146,-0.479716,4399.92,-3875.47,38.9074,921.226,0.0653242,5.81183,-0.000147901
31,0.00966922,-0.463816,4399.92,-3875.47,38.6316,922.603,0.0652962,5.82627,-0.000257749
31,0.00903286,-0.41298,4399.93,-3875.6,36.2568,936.462,0.0671691,5.85395,5.25449e-05
31,0.00930936,-0.426411,4399.92,-3875.45,36.9644,932.195,0.0667474,5.85042,0.000279676
31,0.00977754,-0.465861,4399.92,-3875.41,38.379,924.334,0.0656735,5.82763,-0.00018903
31,0.0096409,-0.479722,4399.92,-3875.52,37.9644,926.83,0.0661796,5.81498,-0.000360632
31,0.00916009,-0.473505,4399.93,-3875.55,36.7666,933.657,0.0669479,5.81917,-0.000434109
31,0.00972429,-0.456296,4399.92,-3875.51,38.4912,923.436,0.0653608,5.83551,1.55529e-05
31,0.00956042,-0.500227,4399.92,-3875.59,38.0414,926.132,0.0658159,5.80469,-0.000429993
31,0.0093206,-0.401424,4399.92,-3875.62,36.6703,933.961,0.0667772,5.86268,0.000436109
31,0.00966543,-0.389789,4399.92,-3875.42,38.515,923.626,0.0656639,5.86541,0.000417536
31,0.0100122,-0.427909,4399.91,-3875.58,39.3706,918.675,0.0649761,5.84211,0.000448816
31,0.00916411,-0.489807,4399.93,-3875.43,36.5279,935.071,0.0670604,5.81619,0.000297964
31,0.00994964,-0.513998,4399.91,-3875.5,38.7779,922.159,0.0653891,5.80768,-7.91265e-05
31,0.00881035,-0.432235,4399.93,-3875.6,35.8357,939.087,0.0677634,5.84189,-0.000159559
31,0.00908772,-0.417381,4399.93,-3875.6,36.1793,937.131,0.0675087,5.85292,8.51295e-05
31,0.0099179,-0.444672,4399.92,-3875.41,39.1597,920.035,0.0651911,5.83017,0.00047665
31,0.00902666,-0.461882,4399.93,-3875.49,36.185,937.123,0.0673965,5.82218,0.000687302
31,0.00983817,-0.499665,4399.92,-3875.59,39.0026,920.406,0.0651079,5.80823,0.000300226
31,0.00917636,-0.472728,4399.93,-3875.38,36.5387,935.145,0.0672911,5.8228,-2.18842e-05
31,0.00956189,-0.407962,4399.92,-3875.49,38.0959,925.919,0.0660601,5.85641,-0.000102828
31,0.0091429,-0.415274,4399.93,-3875.52,36.679,934.189,0.0672323,5.85154,-2.22276e-05
31,0.00962109,-0.424387,4399.92,-3875.49,38.1798,925.518,0.0660869,5.85661,0.00042529
31,0.0096337,-0.474461,4399.92,-3875.42,38.3493,924.572,0.0659825,5.82386,0.000161656
31,0.00974933,-0.437961,4399.92,-3875.46,38.6573,922.673,0.0655612,5.8379,0.000140052
31,0.00934663,-0.475216,4399.92,-3875.46,37.5844,928.454,0.0659972,5.80978,-0.000293991
31,0.00916535,-0.441464,4399.93,-3875.43,36.6442,934.022,0.0668169,5.83902,3.12883e-05
31,0.00930816,-0.413438,4399.92,-3875.53,36.7024,934.047,0.0672927,5.85096,0.000110185
31,0.00975268,-0.459773,4399.92,-3875.38,39.1412,920.17,0.0654189,5.82751,-3.20515e-05
31,0.00957965,-0.438967,4399.92,-3875.43,38.2995,924.83,0.0659308,5.84173,0.000293321
31,0.0089527,-0.411411,4399.93,-3875.48,36.1407,937.193,0.067388,5.85217,8.50677e-05
31,0.0094449,-0.501043,4399.92,-3875.38,37.5175,929.185,0.0664391,5.80444,-0.000217428
31,0.00907426,-0.404226,4399.93,-3875.62,36.7469,933.602,0.0672361,5.86068,0.000475023
31,0.0091238,-0.414033,4399.93,-3875.51,36.375,936.268,0.0675826,5.8541,3.83213e-06
31,0.00948819,-0.415284,4399.92,-3875.48,37.3096,930.539,0.066777,5.85333,2.06428e-05
31,0.0091084,-0.463282,4399.93,-3875.38,36.418,935.889,0.0674575,5.8289,3.08616e-05
31,0.00970951,-0.408199,4399.92,-3875.39,38.7557,922.093,0.065387,5.85919,0.000299761
31,0.00925663,-0.419523,4399.93,-3875.61,37.3142,930.503,0.0667302,5.86134,-3.43935e-05
31,0.00921164,-0.477277,4399.93,-3875.58,36.6532,934.416,0.0669864,5.82511,-0.000233093
31,0.00932275,-0.453674,4399.93,-3875.43,37.5597,928.884,0.0664981,5.82988,-0.00044675
31,0.00986477,-0.438963,4399.92,-3875.6,38.6487,922.709,0.065519,5.83626,0.000153445
31,0.00934416,-0.399744,4399.93,-3875.52,37.3287,930.281,0.0668319,5.86112,0.000648279
31,0.00929013,-0.445739,4399.92,-3875.39,36.8214,933.412,0.0672183,5.83809,0.000180007
31,0.00909582,-0.406114,4399.93,-3875.6,36.417,935.856,0.0674593,5.84952,0.000323952
31,0.00931136,-0.417642,4399.93,-3875.4,37.0912,931.158,0.0664347,5.85299,0.000399494
31,0.00887251,-0.475025,4399.93,-3875.47,36.2209,937.184,0.0678838,5.8437,0.000251986
31,0.00899327,-0.428116,4399.93,-3875.57,36.0248,938.266,0.0677871,5.85105,0.000294452
31,0.00919859,-0.375424,4399.93,-3875.6,36.7966,933.402,0.0670917,5.86386,0.00012165
31,0.00955305,-0.397497,4399.92,-3875.53,37.9223,926.9,0.0660343,5.86695,0.000356592
31,0.00930939,-0.441744,4399.92,-3875.54,36.8884,932.912,0.067309,5.83909,0.000413389
31,0.00973993,-0.496031,4399.92,-3875.38,38.5605,923.296,0.0656584,5.80641,-0.000502309
31,0.00944176,-0.507051,4399.92,-3875.39,37.5642,929.111,0.0666037,5.79912,-0.000562386
31,0.00956989,-0.418957,4399.92,-3875.53,38.1271,925.691,0.0659079,5.85738,-8.98268e-05
31,0.00896629,-0.471823,4399.93,-3875.47,35.8228,939.09,0.0675632,5.82438,-0.000230415
31,0.00936262,-0.447756,4399.92,-3875.5,36.7539,933.471,0.0667786,5.83494,0.000293707
31,0.00915958,-0.398929,4399.93,-3875.47,36.5074,935.054,0.0671376,5.85932,0.000334742
31,0.00962748,-0.504415,4399.92,-3875.54,38.4526,924.105,0.0662289,5.8253,-0.000205647
31,0.0098922,-0.450469,4399.92,-3875.42,38.7731,921.759,0.0649513,5.8367,-0.000166598
31,0.00949536,-0.451061,4399.92,-3875.61,37.4069,929.63,0.0663706,5.83592,-0.000175324
31,0.00899093,-0.423624,4399.93,-3875.38,36.1334,937.488,0.0677559,5.84145,-5.57495e-05
31,0.00941072,-0.498036,4399.92,-3875.58,37.3917,929.991,0.0665886,5.80425,-0.000139821
31,0.00941793,-0.465851,4399.92,-3875.54,37.3158,930.144,0.0665302,5.82306,7.16392e-06
31,0.00973639,-0.429216,4399.92,-3875.43,39.1192,920.078,0.0651147,5.84557,0.000464656
31,0.00928761,-0.463372,4399.93,-3875.48,36.8825,932.675,0.0670674,5.8294,-0.000126655
31,0.00974097,-0.441797,4399.92,-3875.48,38.4996,923.635,0.0657625,5.84774,0.00037091
31,0.00953291,-0.50257,4399.92,-3875.45,37.7958,927.426,0.065951,5.80772,-0.000926985
31,0.00968855,-0.439083,4399.92,-3875.45,38.8317,921.5,0.0650528,5.85672,0.000191353
31,0.009649,-0.360967,4399.92,-3875.46,37.5506,929.089,0.0662871,5.86002,0.000388556
31,0.00996481,-0.49132,4399.91,-3875.56,39.1688,923.171,0.0654797,5.84867,0.000333634
31,0.00964001,-0.481058,4399.92,-3875.46,38.0923,925.767,0.0657416,5.81269,-0.000188106
31,0.00943378,-0.468739,4399.92,-3875.44,37.0578,931.476,0.0664765,5.82245,-9.89889e-05
31,0.00973619,-0.432072,4399.92,-3875.42,38.8969,921.475,0.0655145,5.85345,0.000190744
31,0.00997532,-0.448712,4399.91,-3875.54,39.4727,918.314,0.0652195,5.83888,-9.88419e-05
31,0.00907183,-0.435303,4399.93,-3875.43,36.3915,935.785,0.0671346,5.84122,-0.000251944
31,0.00944942,-0.394396,4399.92,-3875.48,37.8363,927.341,0.0661896,5.87172,0.000208171
31,0.00941496,-0.410747,4399.92,-3875.4,37.6138,928.64,0.0662032,5.85904,3.73721e-05
31,0.00931957,-0.43709,4399.92,-3875.52,36.651,933.844,0.0666144,5.83709,0.000229559
31,0.00955701,-0.440167,4399.92,-3875.44,38.1154,925.921,0.0662233,5.84032,0.000222694
31,0.00927929,-0.439491,4399.93,-3875.48,36.534,934.731,0.0669382,5.83246,-1.11949e-05
31,0.00942466,-0.50321,4399.92,-3875.42,37.4293,929.61,0.0663163,5.80345,-0.000348583
31,0.00907527,-0.422066,4399.93,-3875.51,36.1121,937.632,0.0674585,5.8542,0.000264687
31,0.00969157,-0.419201,4399.92,-3875.42,38.3174,924.7,0.0657557,5.86105,0.000175362
31,0.00934755,-0.402813,4399.92,-3875.53,38.2043,925.061,0.0655276,5.85824,0.000274067
31,0.00970209,-0.48367,4399.92,-3875.47,38.4292,924.202,0.0661143,5.81484,-2.53348e-05
31,0.0094686,-0.471316,4399.92,-3875.55,37.3552,930.361,0.0669729,5.8189,-0.000320832
31,0.00955219,-0.429306,4399.92,-3875.51,37.7584,927.845,0.0661524,5.84434,0.00042642
31,0.00969179,-0.410152,4399.92,-3875.52,38.305,924.752,0.0658575,5.85113,-0.000200933
31,0.00955051,-0.428982,4399.92,-3875.4,38.2921,924.799,0.0659868,5.84132,5.40527e-05
31,0.00968358,-0.496389,4399.92,-3875.54,38.8108,921.666,0.0654091,5.80729,-0.00049524
31,0.00967184,-0.43883,4399.92,-3875.48,38.3522,924.27,0.0654254,5.83947,-1.44577e-05
31,0.00961234,-0.50059,4399.92,-3875.47,38.4305,923.568,0.0652264,5.80161,-0.000354572
31,0.00922868,-0.449362,4399.93,-3875.6,36.5447,935.186,0.0675613,5.83509,0.000240745
31,0.00896411,-0.429036,4399.93,-3875.55,36.4822,935.555,0.06751,5.85405,3.00929e-06
31,0.0101783,-0.509482,4399.91,-3875.48,38.786,921.904,0.0652942,5.80904,-0.000425968
31,0.00956137,-0.483881,4399.92,-3875.41,37.7984,927.338,0.0659483,5.80925,-0.000160761
31,0.00938714,-0.390784,4399.92,-3875.55,37.1913,931.202,0.0665446,5.86916,0.000268867
31,0.00963926,-0.405997,4399.92,-3875.39,38.6306,922.758,0.0654534,5.86611,0.000207373
31,0.0099049,-0.462055,4399.91,-3875.38,39.1915,919.78,0.0649734,5.8261,-0.00020833
31,0.00900217,-0.475874,4399.93,-3875.56,35.9574,938.854,0.0679842,5.81999,-0.000468514
31,0.00970923,-0.419139,4399.92,-3875.44,38.4543,923.842,0.0656396,5.84845,-6.04736e-05
31,0.00931189,-0.383083,4399.93,-3875.61,37.4196,929.797,0.0664526,5.86809,0.000124926
31,0.00951708,-0.399451,4399.92,-3875.56,37.4471,929.593,0.0662136,5.87007,0.000114072
31,0.00931932,-0.423889,4399.92,-3875.61,37.2948,930.51,0.0665817,5.85223,-0.000266769
31,0.00895901,-0.400141,4399.93,-3875.61,36.8533,932.851,0.0668622,5.84532,3.92665e-05
31,0.00943874,-0.485831,4399.92,-3875.51,36.9747,932.074,0.0666749,5.80725,5.88117e-05
31,0.00942235,-0.499861,4399.93,-3875.4,37.8649,926.971,0.0659049,5.79654,-0.000567966
31,0.00975192,-0.426156,4399.92,-3875.52,38.8251,921.676,0.0653378,5.84033,9.15909e-05
31,0.00904983,-0.422748,4399.93,-3875.6,35.8446,939.215,0.0679038,5.84627,0.000604615
31,0.00977122,-0.454368,4399.92,-3875.56,38.4672,923.852,0.0655986,5.83207,0.000201664
31,0.00923587,-0.434528,4399.93,-3875.56,36.6977,934.025,0.0670095,5.84639,0.000356267
31,0.00913348,-0.472686,4399.93,-3875.61,36.2579,936.955,0.0677055,5.81727,-0.000218167
31,0.00975332,-0.452178,4399.92,-3875.62,38.534,923.457,0.0657485,5.81947,-0.000178155
31,0.00945194,-0.433884,4399.92,-3875.45,37.3497,930.189,0.0666353,5.84603,0.000304543
31,0.00921076,-0.393552,4399.93,-3875.48,36.6485,934.605,0.0671548,5.85972,-5.51227e-05
31,0.00947655,-0.485469,4399.92,-3875.61,37.7647,927.584,0.0659963,5.80985,0.00010727
31,0.00932998,-0.410413,4399.92,-3875.42,37.325,930.447,0.0668111,5.85868,0.000434136
31,0.00956718,-0.458836,4399.92,-3875.43,38.0754,926.022,0.0661684,5.83073,3.34883e-05
31,0.00913914,-0.44869,4399.93,-3875.46,36.2679,936.785,0.0676664,5.83135,-0.00029811
31,0.00923885,-0.49832,4399.93,-3875.48,36.9883,932.045,0.0669154,5.8035,-0.000317915
31,0.00978647,-0.424516,4399.92,-3875.6,38.2872,924.622,0.0655672,5.85491,-0.000629742
31,0.00951623,-0.475354,4399.92,-3875.45,37.3742,929.88,0.0662151,5.81001,8.59011e-05
31,0.00928922,-0.473823,4399.93,-3875.61,37.4781,929.958,0.067267,5.81937,8.93012e-05
31,0.00935756,-0.426153,4399.92,-3875.47,36.9824,932.191,0.0668815,5.841,0.000119685
