,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate
1,0.012338664224673881,3.0227563031957296,-3875.463554234098,4399.8686974088505,872.3366189427315,0.05833776624381831,2.9838819185161163,-0.002200157520970623,-0.15771073507367683,49.11101418207633,3.0298733242176334,1384.4497992396357
22,0.011920685036304422,3.0076389444877467,-3875.456763646153,4399.8752920111665,880.7115868440717,0.05917611928002195,2.9597638446295886,-0.002388803353972188,-0.18182880896020448,47.469128379510494,3.0016006754958924,1548.3761662677573
24,0.012232987365037867,3.003094215949943,-3875.548971943458,4399.870321190954,873.0620760676447,0.05770944017419761,2.9273243438495604,-0.002614253459961088,-0.2142683097402327,49.22758040489525,2.991119350612362,1422.4238316928177
42,0.0125161274297882,3.006191401284708,-3875.413927560436,4399.862913868265,869.5798208551818,0.057650355371629707,2.946561230860167,-0.0024311615907289786,-0.19503142272962615,49.79059064394592,3.007893021436821,1260.3465644837618
78,0.01169487096190025,2.9929034928439155,-3875.39680246072,4399.880836587434,883.670317615512,0.05925683058869538,2.9534608224897734,-0.0026452799377967066,-0.18813183110001974,46.84308102468657,2.9920913515567267,1708.565201699908
93,0.011725700765309861,2.970356419423438,-3875.430115430042,4399.87936580689,885.1201061059426,0.05982927934763153,2.929639211947187,-0.002877447759531458,-0.21195344164260632,46.89688567952123,2.972651484969165,1663.8404483755223
149,0.01182171657913375,3.02823352944091,-3875.5254288281244,4399.880223814824,882.2824528922631,0.059554854538317235,2.9894628294920813,-0.0021575523738848624,-0.1521298240977118,47.0308803119894,3.022336593492683,1689.72461546414
169,0.011855972872256135,2.9853051730040545,-3875.559489172268,4399.879437118335,884.0741277771182,0.059539856530856236,2.931561284054367,-0.002653974482838556,-0.21003136953542612,47.07341084430202,2.9762637334602857,1665.9700276346798
214,0.01195323701997065,3.0338061485282193,-3875.4779832028985,4399.875418721411,878.9692811937686,0.05875936208299036,2.972449216009596,-0.0021358155288555927,-0.169143437580197,47.71058136962679,3.0140028879777128,1551.7921369508927
222,0.01197532508095909,3.022731852674823,-3875.4943025042076,4399.874667020308,876.4631691766384,0.05818282158523546,2.9782359444426074,-0.0017414687804305949,-0.1633567091471857,48.14367953775545,3.020547623329818,1531.6834995998627
