,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate
89,0.017200790109259494,0.5826861733519989,-5099.8651319195915,4399.744959284342,776.3787703402824,0.045978543961406805,0.7266772938542368,0.004036921117623423,0.27787834334140926,83.27797971648347,0.5754758414295386,2561.391256790912
92,0.015930107456681906,0.5465740011682035,-5100.243570604153,4399.781505427311,776.9379288901955,0.0463713774670983,0.7123757120490078,0.004055066162290946,0.26357676153618026,83.18520864500637,0.5677723301687757,3653.9312905572224
143,0.01615929359193448,0.6218074369354272,-5099.539622036723,4399.772111469752,772.2410651233187,0.04559811969343929,0.7679657909888292,0.0045110173124428155,0.31916684047600163,84.1344767260059,0.5985061685790583,3319.3039763597253
157,0.016024607357012437,0.6230346478273665,-5099.631393908103,4399.7743833266195,774.6526851929358,0.046131078966879534,0.8197313576173031,0.005669129942698788,0.3709324071044755,82.81111113967272,0.6153238955171446,3396.2013264545053
164,0.01584363175281934,0.570244837342752,-5100.235838609962,4399.781321967238,774.633031507407,0.04541554410789961,0.7236116529769483,0.004933431558919057,0.2748127024641207,83.79271404426342,0.5736406968048708,3646.9568710042836
265,0.015913519209601934,0.6095883866966619,-5099.6281999544035,4399.782193769367,770.8352051099015,0.04515648428169105,0.7994214430958508,0.005175892779814748,0.35062249258302325,84.04422248496373,0.6064018125521118,3680.265275941461
291,0.015404900891299986,0.5820370606714631,-5099.600933514039,4399.741198419051,777.8888733852957,0.04613885929695877,0.7524624890651561,0.004377415396673125,0.3036635385523285,82.09999278665666,0.5845017665759729,4174.260851500869
302,0.015607509528322697,0.5622961563344738,-5100.021645403915,4399.7875652492985,777.3955742897523,0.046284986822210994,0.713972896713174,0.003798666644271903,0.2651739462003464,82.83406330725818,0.5678452822491251,3895.1308147285836
323,0.015778206491258898,0.5699789800664603,-5100.0673322964085,4399.78785858332,776.7009368887282,0.046345408775333906,0.7418761233746777,0.00387912391214897,0.2930771728618501,82.80060361186653,0.580907155914606,3907.3625176170103
345,0.01624127539097986,0.5728006585128252,-5099.886265142527,4399.770182471882,773.8819407055101,0.04596575715006835,0.721848930527586,0.0035070370835254966,0.27304998001475844,84.1785692108829,0.574883479004792,3255.8942287091536
396,0.016432466272927947,0.5906537682304426,-5099.545745226435,4399.762903332586,774.227908462566,0.045960055201942934,0.7283699369540845,0.004262797933197179,0.2795709864412569,84.1378808754893,0.578734069396162,3031.162554941715
405,0.01607959004615608,0.5822773109162354,-5099.5146581598365,4399.772590627196,774.0747696270729,0.04587186696066148,0.7249932226652342,0.004157738926835715,0.27619427215240666,84.18503291685423,0.575833520198214,3335.319937809913
