,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0,0.00826174,0.465131,4399.94,-3875.5,33.6754,954.272,0.0700883,0.452687,7.73084e-05,0.00388845
1,0.00858602,0.4161,4399.93,-3875.5,34.333,950.543,0.0694228,0.433879,1.5838e-05,-0.0149198
2,0.00837689,0.399552,4399.94,-3875.5,33.6399,954.517,0.0697953,0.427916,0.000154958,-0.0208833
3,0.00839554,0.457543,4399.94,-3875.5,34.3517,950.078,0.0694925,0.452564,4.30847e-05,0.00376497
4,0.00835824,0.477303,4399.94,-3875.5,33.1473,957.465,0.0700363,0.458805,0.000175827,0.0100064
5,0.00857973,0.400344,4399.94,-3875.5,34.204,951.099,0.0692537,0.428997,-0.000136443,-0.0198019
6,0.00845692,0.454426,4399.94,-3875.5,34.2171,950.706,0.0693503,0.451975,-2.83214e-05,0.00317635
7,0.00837795,0.441399,4399.94,-3875.5,33.3465,956.358,0.0700752,0.453668,0.000153505,0.00486908
8,0.00872627,0.49328,4399.93,-3875.5,35.0516,945.647,0.0688556,0.468782,0.000109151,0.0199831
9,0.00877927,0.399666,4399.93,-3875.5,34.4744,949.51,0.0693311,0.434494,-0.000162067,-0.0143054
10,0.00845367,0.378865,4399.94,-3875.5,33.6786,954.192,0.0696451,0.427195,-0.000311812,-0.0216044
11,0.00902189,0.458996,4399.93,-3875.5,35.6626,941.543,0.0679218,0.450731,-0.000280093,0.00193195
12,0.00845183,0.493417,4399.94,-3875.5,33.7682,953.819,0.0698555,0.465106,0.000269667,0.0163071
13,0.00821758,0.510109,4399.94,-3875.5,32.3429,962.554,0.0711988,0.457401,-4.27853e-05,0.00860172
14,0.00882423,0.446156,4399.93,-3875.5,35.5482,942.27,0.067912,0.442598,-6.01057e-05,-0.00620138
15,0.00887525,0.426072,4399.93,-3875.5,35.166,944.874,0.0683498,0.440264,0.000216467,-0.00853506
16,0.00844426,0.458782,4399.94,-3875.5,34.0833,951.703,0.0695484,0.457904,4.92676e-05,0.00910534
