tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0177013,-0.599128,6599.39,-4499.87,82.215,701.535,0.0399244,5.55406,-0.00366822,-0.280329
0.0177701,-0.604297,6599.39,-4499.87,81.6846,702.022,0.0401003,5.54138,-0.00373258,-0.293011
0.0175773,-0.583788,6599.4,-4499.87,81.0366,703.149,0.0400294,5.5787,-0.00316192,-0.255691
0.0179311,-0.584202,6599.38,-4499.87,82.141,701.865,0.0398551,5.57431,-0.00343646,-0.260078
0.0179697,-0.592931,6599.37,-4499.87,82.7633,700.999,0.0394309,5.60127,-0.00298755,-0.233115
0.0175122,-0.612001,6599.4,-4499.87,80.9048,703.084,0.040268,5.5385,-0.00372145,-0.295884
0.0181133,-0.593314,6599.36,-4499.87,83.1274,700.549,0.0396357,5.56842,-0.00341774,-0.265965
0.0173828,-0.585281,6599.41,-4499.87,81.1854,702.903,0.0399781,5.5598,-0.0034359,-0.274591
0.0177487,-0.596839,6599.39,-4499.87,82.8434,700.444,0.03958,5.55114,-0.00388235,-0.283249
0.0178494,-0.596539,6599.38,-4499.87,81.7882,701.837,0.0397613,5.55318,-0.00354452,-0.281204
0.0180071,-0.617366,6599.37,-4499.87,82.3752,700.501,0.0396889,5.51784,-0.00411823,-0.316547
0.0179791,-0.594545,6599.37,-4499.87,82.6325,700.377,0.0393665,5.55043,-0.0034811,-0.283958
0.0176324,-0.602083,6599.39,-4499.87,81.4524,702.244,0.0400823,5.53573,-0.00383701,-0.298654
0.0178247,-0.600517,6599.38,-4499.87,82.2044,701.361,0.0398975,5.55098,-0.00372619,-0.283401
0.0177111,-0.583894,6599.39,-4499.87,81.3186,702.689,0.0397121,5.59686,-0.00281507,-0.237526
0.0179884,-0.588118,6599.37,-4499.87,83.1584,700.443,0.0392922,5.5705,-0.003584,-0.263884
0.0174902,-0.609391,6599.41,-4499.87,80.3668,704.401,0.0406613,5.56107,-0.00342796,-0.273313
0.0175682,-0.580206,6599.4,-4499.87,81.2645,703.937,0.0401574,5.56962,-0.0034536,-0.264762
0.0178516,-0.585878,6599.38,-4499.87,80.7139,703.922,0.0403521,5.57257,-0.00326945,-0.261812
0.0179026,-0.59147,6599.38,-4499.87,83.2402,705.184,0.0398243,5.57139,-0.00328058,-0.262995
0.0179787,-0.578405,6599.37,-4499.87,82.9379,700.93,0.0395437,5.59122,-0.00323821,-0.243168
0.0176158,-0.570665,6599.31,-4499.87,81.5216,702.534,0.0399953,5.61103,-0.00270461,-0.223356
0.0179352,-0.598497,6599.37,-4499.87,81.7247,701.676,0.0398274,5.53647,-0.00386089,-0.29792
0.0180851,-0.568718,6599.37,-4499.87,82.6189,701.33,0.0397088,5.59406,-0.00314353,-0.240331
0.0174518,-0.574757,6599.41,-4499.87,80.6555,703.752,0.04012,5.58726,-0.00310328,-0.247125
0.0175886,-0.574271,6599.4,-4499.87,81.3263,702.868,0.0399736,5.5867,-0.0031189,-0.24769
0.0176984,-0.589339,6599.39,-4499.87,81.0076,703.438,0.040213,5.57962,-0.00328049,-0.254764
0.0176846,-0.574383,6599.38,-4499.87,81.7046,702.286,0.0398395,5.59528,-0.00299069,-0.239109
0.0178499,-0.609966,6599.38,-4499.87,82.3972,700.595,0.039652,5.53545,-0.00378599,-0.298937
0.0178854,-0.572364,6599.37,-4499.87,82.1816,701.796,0.0397388,5.58987,-0.00326923,-0.244516
0.0179488,-0.566916,6599.37,-4499.87,82.5725,701.435,0.039739,5.58946,-0.00300333,-0.244931
0.017668,-0.569872,6599.39,-4499.87,81.0369,703.26,0.0401406,5.59489,-0.00337413,-0.239495
0.0174997,-0.597299,6599.4,-4499.87,81.7577,702.355,0.0400167,5.56742,-0.00345378,-0.266966
0.0178067,-0.605889,6599.38,-4499.87,81.251,702.53,0.0402319,5.529,-0.00384307,-0.305382
0.0179607,-0.584225,6599.37,-4499.87,81.7183,702.214,0.0398762,5.56331,-0.00343934,-0.27108
0.0180092,-0.606639,6599.37,-4499.87,82.6786,700.604,0.0396589,5.54696,-0.00373743,-0.287428
0.0176204,-0.59286,6599.4,-4499.87,81.671,702.232,0.0399345,5.55681,-0.00336737,-0.277579
0.0176903,-0.574029,6599.4,-4499.87,81.7998,702.186,0.0397624,5.59737,-0.00306857,-0.237012
0.0177256,-0.600768,6599.39,-4499.87,81.4995,702.014,0.0400828,5.52285,-0.00395446,-0.311537
0.0178714,-0.566515,6599.38,-4499.87,83.1769,700.657,0.0393676,5.58845,-0.0032041,-0.245936
0.0179988,-0.594182,6599.37,-4499.87,82.5116,701.251,0.0398623,5.5624,-0.00356453,-0.271983
0.0175757,-0.574877,6599.4,-4499.87,81.506,702.576,0.0399232,5.6046,-0.00316054,-0.229783
0.0172401,-0.601771,6599.42,-4499.87,80.8399,703.195,0.0402439,5.5457,-0.00384229,-0.288687
0.0181934,-0.580974,6599.36,-4499.87,82.6308,701.297,0.0397099,5.58665,-0.00316571,-0.247732
0.017538,-0.577592,6599.4,-4499.87,81.2321,703.066,0.0400848,5.58634,-0.00311014,-0.248046
0.0182362,-0.583969,6599.36,-4499.87,83.0405,700.858,0.0396087,5.59637,-0.00304702,-0.23802
0.018109,-0.589957,6599.36,-4499.87,83.0745,700.771,0.0394848,5.57017,-0.00329424,-0.264213
0.0176939,-0.601264,6599.39,-4499.87,80.6956,703.227,0.0400182,5.54125,-0.00378205,-0.293139
0.0177089,-0.567892,6599.39,-4499.87,81.9785,702.052,0.0397944,5.5927,-0.00310901,-0.241688
