tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
0.0204893,0.610295,4399.64,-3875.57,84.731,764.996,0.0425031,0.759228,0.00445385
0.0207206,0.569404,4399.63,-3875.48,85.0846,769.151,0.0421434,0.679902,0.00298212
0.0203392,0.588446,4399.64,-3875.49,83.807,769.284,0.0427254,0.712137,0.00358247
0.0204115,0.588696,4399.64,-3875.5,84.0897,767.695,0.042132,0.725806,0.0042051
0.0203078,0.579631,4399.65,-3875.47,83.8448,769.729,0.0422328,0.699853,0.00357038
0.0204081,0.614212,4399.64,-3875.49,83.8934,765.638,0.0422485,0.766061,0.00459105
0.020259,0.598966,4399.64,-3875.56,83.9106,766.976,0.0423718,0.741343,0.00408541
0.0206274,0.612202,4399.63,-3875.46,84.959,764.046,0.0421115,0.766478,0.00461847
0.0202856,0.585592,4399.64,-3875.41,83.456,769.038,0.0424217,0.719134,0.0038766
0.0203656,0.607229,4399.64,-3875.61,84.5142,764.741,0.0420747,0.763417,0.00452454
0.02045,0.574619,4399.64,-3875.38,84.4392,769.822,0.0427209,0.689491,0.00338041
0.0206247,0.596166,4399.63,-3875.61,85.4132,764.506,0.042108,0.748992,0.00480073
0.0207857,0.573759,4399.63,-3875.59,84.7282,769.224,0.0424254,0.689528,0.00354409
0.0205035,0.592764,4399.63,-3875.52,84.7784,766.265,0.0422982,0.735284,0.00402436
0.0207376,0.584237,4399.63,-3875.56,85.3676,767.549,0.0422184,0.705169,0.0034072
0.0226353,0.539902,4399.56,-3875.56,84.3868,768.947,0.0425243,0.704986,0.00358282
0.0206767,0.579802,4399.63,-3875.43,85.3966,766.9,0.0417822,0.712022,0.00387705
0.0203604,0.597518,4399.64,-3875.6,84.2477,767.52,0.0424429,0.728866,0.00397349
0.0201828,0.599078,4399.65,-3875.39,83.3983,767.46,0.0425361,0.74487,0.0040041
0.0202278,0.603859,4399.64,-3875.5,83.3711,767.823,0.042759,0.747024,0.00450803
0.0202647,0.593473,4399.65,-3875.39,83.7352,767.798,0.0425704,0.736202,0.00392772
0.0205981,0.573368,4399.63,-3875.62,85.0858,769.106,0.0426584,0.691435,0.00345269
0.0197781,0.606378,4399.66,-3875.37,83.8414,766.735,0.0421126,0.743816,0.00425271
0.0205977,0.589868,4399.63,-3875.39,84.7994,766.708,0.0422101,0.728808,0.00421038
0.0209894,0.599988,4399.62,-3875.61,85.7455,764.509,0.0416612,0.73822,0.0038222
0.0202681,0.597659,4399.64,-3875.46,83.8404,768.128,0.0429307,0.733867,0.00441063
0.0203488,0.597821,4399.64,-3875.39,83.936,767.403,0.0424386,0.734852,0.00409741
0.0206825,0.596068,4399.63,-3875.56,85.1029,766.008,0.0419813,0.731612,0.00423377
0.0203661,0.595722,4399.64,-3875.55,83.5488,768.309,0.0425326,0.732661,0.00383013
0.0202953,0.607633,4399.64,-3875.46,83.8454,766.358,0.0427173,0.757719,0.00450609
0.0203493,0.599307,4399.64,-3875.38,83.7455,767.42,0.0425659,0.741164,0.0043175
0.0206924,0.569389,4399.63,-3875.58,84.9053,769.812,0.0427184,0.675259,0.0033756
0.0202996,0.594484,4399.64,-3875.44,83.8428,767.927,0.0425781,0.733455,0.00458534
0.0205532,0.590454,4399.64,-3875.49,84.6129,767.654,0.0427101,0.724726,0.00402349
0.0206593,0.593698,4399.63,-3875.55,85.0299,766.124,0.0421397,0.731959,0.00395918
0.0204452,0.573935,4399.64,-3875.59,84.6481,769.039,0.0429896,0.704323,0.00361207
0.020729,0.581277,4399.62,-3875.47,85.7114,767.221,0.0423255,0.70694,0.00369295
0.0206678,0.597071,4399.63,-3875.4,85.1767,764.843,0.0421301,0.749623,0.00428498
0.0207848,0.591274,4399.63,-3875.6,85.7751,768.508,0.0422629,0.755143,0.00427229
0.0208617,0.567845,4399.62,-3875.42,85.4774,768.626,0.0422051,0.685592,0.00348415
0.0206645,0.597957,4399.63,-3875.42,85.3049,765.525,0.0421032,0.736002,0.0038298
0.020567,0.565257,4399.63,-3875.56,84.6023,770.157,0.0425696,0.674516,0.00336206
0.0207171,0.583534,4399.63,-3875.4,85.4584,767.153,0.0419866,0.708167,0.00346145
0.0204971,0.61338,4399.64,-3875.48,84.7736,765.682,0.0423763,0.745565,0.00440807
0.0202777,0.605369,4399.65,-3875.44,83.7326,766.331,0.0424623,0.75825,0.00469537
0.0200972,0.586003,4399.65,-3875.47,83.3493,769.418,0.0429288,0.72266,0.0035808
0.0201041,0.588852,4399.65,-3875.44,83.1064,769.841,0.0434085,0.727843,0.00378456
0.0201444,0.589774,4399.65,-3875.59,83.2001,769.598,0.0430253,0.723717,0.00378647
0.020654,0.575065,4399.63,-3875.42,85.4331,768.134,0.0417945,0.69067,0.00367347
0.020781,0.591482,4399.63,-3875.43,85.8743,766.402,0.0420312,0.713595,0.00380115
0.0202631,0.580753,4399.65,-3875.58,83.3772,770.662,0.0429992,0.700812,0.00387357
0.02086,0.580361,4399.62,-3875.49,85.8434,766.587,0.0417172,0.706925,0.00332613
0.0206187,0.591388,4399.63,-3875.62,85.0543,767.086,0.0430452,0.728602,0.00447288
0.0202886,0.564484,4399.64,-3875.53,84.3143,770.424,0.0428493,0.675378,0.00305321
0.0207988,0.585484,4399.63,-3875.39,85.7097,767.309,0.0422957,0.706401,0.00375385
0.0201043,0.595589,4399.65,-3875.54,83.1196,768.892,0.0423949,0.73041,0.00398757
0.0205384,0.593555,4399.63,-3875.47,84.441,766.094,0.0425357,0.747686,0.00427309
0.0205587,0.588319,4399.63,-3875.42,84.7169,766.628,0.0420408,0.730294,0.00404006
0.0203265,0.577478,4399.64,-3875.55,84.1374,769.468,0.042771,0.703903,0.00392149
0.0202538,0.587983,4399.65,-3875.54,83.5433,769.472,0.04279,0.716592,0.00417802
0.0204408,0.572865,4399.64,-3875.6,84.3865,770.257,0.0427889,0.680222,0.00310479
0.0204861,0.60282,4399.64,-3875.4,84.7605,764.854,0.041639,0.748394,0.0043752
0.0206583,0.576611,4399.63,-3875.5,84.8451,769.346,0.0426472,0.68864,0.00350758
0.0205846,0.587972,4399.63,-3875.46,84.8108,768.029,0.0428385,0.717746,0.00428229
0.0204048,0.6068,4399.64,-3875.43,84.104,765.547,0.0421839,0.756906,0.00449964
0.0203085,0.565717,4399.64,-3875.62,83.7016,770.98,0.0429261,0.683785,0.00312677
0.0202006,0.590961,4399.65,-3875.45,83.3176,768.558,0.0424203,0.73094,0.00416337
0.0208665,0.585836,4399.62,-3875.49,85.7963,765.473,0.0416956,0.725232,0.00408673
0.0202848,0.601732,4399.64,-3875.39,83.701,767.012,0.0423926,0.747559,0.00446282
0.0201534,0.576077,4399.65,-3875.61,83.1541,770.755,0.0429574,0.705234,0.00350571
0.0208187,0.582647,4388.18,-3875.54,85.8301,766.501,0.0420015,0.71883,0.00378719
0.0203609,0.569142,4399.64,-3875.56,84.2211,770.52,0.0429975,0.680432,0.00340341
0.0207595,0.590146,4399.63,-3875.43,85.6714,766.149,0.0419093,0.719475,0.00371553
0.0204077,0.601808,4399.64,-3875.49,84.2549,765.826,0.0423112,0.753566,0.00445202
0.02016,0.601062,4399.65,-3875.41,83.2594,767.57,0.0425406,0.74867,0.00438312
0.0207566,0.597347,4399.63,-3875.49,85.8384,765.397,0.0417723,0.725602,0.00384621
0.0203424,0.574294,4399.64,-3875.55,83.617,770.718,0.0429409,0.693779,0.00341903
0.0202135,0.585592,4399.65,-3875.61,83.373,768.298,0.0426741,0.736845,0.00409357
0.020709,0.572986,4399.63,-3875.38,85.259,768.886,0.042225,0.684921,0.00380129
0.0204291,0.574325,4399.6,-3875.55,84.5954,769.211,0.0421336,0.691625,0.00342865
0.0205321,0.584998,4399.64,-3875.51,84.5504,768.332,0.0424062,0.710678,0.00374482
0.0202679,0.583142,4399.64,-3875.57,83.6125,769.348,0.0425999,0.714827,0.00346523
0.0203196,0.600487,4399.64,-3875.57,83.8442,767.054,0.0425806,0.744225,0.00370198
0.0203993,0.611099,4399.63,-3875.55,84.261,764.488,0.0418272,0.770959,0.00446394
0.0205738,0.605552,4399.63,-3875.49,85.0973,764.63,0.0418646,0.751202,0.00428164
0.0204201,0.60312,4399.64,-3875.5,84.0802,766.635,0.0426781,0.748356,0.00421264
0.0205189,0.574083,4399.64,-3875.55,84.6928,768.999,0.0423817,0.696738,0.00320911
0.0202644,0.58159,4399.65,-3875.47,83.3912,769.405,0.0427527,0.719271,0.00388418
0.02042,0.601787,4399.64,-3875.59,84.3469,765.873,0.0422106,0.749471,0.00417618
0.0204866,0.583241,4399.64,-3875.45,84.802,767.585,0.0423429,0.715519,0.00339326
0.0202751,0.579578,4399.65,-3875.5,84.2023,767.975,0.0420547,0.718104,0.00370732
0.0201232,0.590263,4399.65,-3875.6,83.0863,769.111,0.0427269,0.730234,0.00415165
0.0204755,0.615426,4399.64,-3875.55,84.5048,769.221,0.0432008,0.685797,0.00312911
0.0201932,0.598278,4399.65,-3875.4,83.5186,766.994,0.0425157,0.751683,0.00455275
0.0206946,0.591009,4399.63,-3875.44,85.2566,766.702,0.0421118,0.721813,0.0040964
0.020286,0.592436,4399.64,-3875.56,83.7165,767.911,0.0426837,0.732299,0.00415737
0.0205866,0.570448,4399.63,-3875.48,84.5995,766.925,0.041973,0.727093,0.00386367
0.0203327,0.574686,4399.64,-3875.56,84.1998,770.332,0.0429451,0.689658,0.00360209
0.0206142,0.587138,4399.64,-3875.38,85.1386,767.136,0.0425556,0.721519,0.0040669
0.0203309,0.604065,4399.64,-3875.44,83.7108,766.045,0.0421659,0.76132,0.00460325
0.0206289,0.582499,4399.63,-3875.5,85.1614,767.801,0.0424428,0.707459,0.00326937
0.0202483,0.574652,4399.65,-3875.4,83.4085,771.562,0.0421388,0.690011,0.00365269
0.0203115,0.577252,4399.64,-3875.38,83.7948,770.15,0.0424043,0.691475,0.00315846
0.0207569,0.597258,4399.63,-3875.61,84.9849,765.47,0.0419119,0.739574,0.0041817
0.0202544,0.583466,4399.64,-3875.5,83.6559,770.361,0.0426984,0.699168,0.00367033
0.0202514,0.564817,4399.65,-3875.44,83.9,770.489,0.0426151,0.681731,0.00348075
0.0201227,0.582746,4399.65,-3875.5,83.2686,770.234,0.0434172,0.716302,0.00295493
0.0207467,0.599807,4399.63,-3875.54,85.5214,766.281,0.041989,0.734981,0.00425553
0.0204928,0.566455,4399.64,-3875.5,84.5306,770.186,0.0426935,0.675752,0.00349259
0.0207091,0.58876,4399.63,-3875.43,85.1714,766.976,0.0422193,0.719788,0.00412758
0.0206008,0.603661,4399.63,-3875.54,85.1954,764.805,0.0419635,0.746865,0.00434828
0.0204345,0.592133,4399.64,-3875.58,84.0314,766.303,0.0418621,0.74955,0.0043803
0.0205306,0.577405,4399.64,-3875.55,84.6384,768.035,0.0420508,0.71209,0.00367089
0.0202322,0.60042,4399.65,-3875.56,83.7355,766.729,0.0424151,0.750065,0.00465617
0.0205714,0.575669,4399.63,-3875.4,84.8476,768.729,0.042183,0.695506,0.00363728
0.0206637,0.600174,4399.63,-3875.58,85.6419,765.17,0.0418499,0.734222,0.00399967
0.0204216,0.58685,4399.64,-3875.44,84.341,768.392,0.0427059,0.716167,0.00341943
0.0204464,0.570464,4399.64,-3875.38,83.5772,770.731,0.04267,0.690646,0.00367351
0.0206618,0.597931,4399.63,-3875.5,85.2528,765.727,0.0422291,0.734944,0.00379028
0.0204451,0.58551,4399.64,-3875.63,84.6894,766.29,0.0422839,0.735642,0.00386372
0.02069,0.607614,4399.63,-3875.4,85.187,764.781,0.0422853,0.753437,0.00445071
0.0203125,0.602241,4399.64,-3875.45,83.8531,766.727,0.0422214,0.744831,0.00450627
0.0201808,0.575965,4399.65,-3875.51,83.3587,770.847,0.0426617,0.694265,0.00350637
0.0205821,0.612852,4399.63,-3875.52,84.6838,764.224,0.0418643,0.766619,0.00453933
0.0207664,0.601901,4399.62,-3875.44,85.6048,764.47,0.0419027,0.744317,0.00437681
0.0209706,0.593984,4399.62,-3875.57,85.7945,764.786,0.0421398,0.746218,0.00474964
0.0203682,0.605838,4399.64,-3875.58,84.2364,765.277,0.041954,0.758038,0.00451886
0.0204708,0.576446,4399.64,-3875.51,84.2728,769.681,0.0424551,0.688539,0.00334061
0.0201701,0.581292,4399.64,-3875.46,83.106,770.096,0.0425492,0.712544,0.00368464
0.0207608,0.594349,4399.63,-3875.54,85.6396,765.933,0.0416664,0.720022,0.00365519
0.0201701,0.598391,4399.65,-3875.44,83.1651,767.773,0.0425931,0.7451,0.00499142
0.020419,0.58161,4399.64,-3875.4,84.117,769.148,0.0426666,0.708179,0.00364577
0.0202786,0.589505,4399.64,-3875.53,83.6151,767.763,0.0418347,0.728656,0.00433611
0.0206265,0.576234,4399.63,-3875.49,85.0073,768.487,0.0424147,0.699728,0.00362548
0.0207284,0.594061,4399.63,-3875.59,85.7145,764.331,0.0413227,0.738042,0.00433386
0.0204969,0.592703,4399.63,-3875.47,84.6123,767.005,0.0424071,0.729744,0.00387595
0.02058,0.581248,4399.63,-3875.41,84.9216,768.793,0.0426187,0.697788,0.00326015
0.0206627,0.601734,4399.63,-3875.48,85.1709,764.929,0.0423516,0.749613,0.00480722
0.0202033,0.581667,4308.17,-3875.55,83.2796,773.693,0.0433342,0.709944,0.00360743
0.020235,0.577031,4399.58,-3875.4,83.4991,769.623,0.0425298,0.711607,0.00373415
0.0205725,0.591363,4399.63,-3875.42,84.953,766.632,0.0424696,0.731082,0.00411861
0.0202052,0.578411,4399.65,-3875.4,83.2051,770.96,0.043084,0.700951,0.00359259
