hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
63,0.0184827,-1.47728,6599.33,-3875.56,75.4302,715.014,0.0409498,4.70432,-0.00293148
63,0.0182469,1.32114,6599.35,-3875.62,75.0558,714.911,0.041251,1.30736,-0.000307268
63,0.0179464,1.35855,6599.37,-3875.55,73.5696,716.52,0.0415071,1.39562,0.000517889
63,0.0181932,1.33296,6599.36,-3875.42,74.9555,714.998,0.0413121,1.31923,-0.000700887
63,0.0181507,1.35993,6599.36,-3875.58,75.067,714.954,0.0413435,1.36156,0.000442301
63,0.0179479,-1.49825,6599.37,-3875.59,73.8413,716.871,0.0413185,4.65005,-0.00363187
63,0.0185577,1.34287,6599.32,-3875.49,76.3566,713.709,0.0408637,1.33429,-0.000294872
63,0.0179995,-1.48676,6599.37,-3875.56,73.7223,717.328,0.0415855,4.6713,-0.00324875
63,0.0183503,1.32385,6599.34,-3875.44,75.5223,714.368,0.0410842,1.30276,-0.000582735
63,0.0184687,1.33201,6599.34,-3875.45,75.9119,714.041,0.0409514,1.32065,-0.000405566
63,0.0182011,1.35658,6599.35,-3875.46,75.1637,714.662,0.0413959,1.3642,8.99984e-05
63,0.0180242,-1.51058,6599.37,-3875.54,74.3445,716.359,0.0414742,4.62508,-0.00401118
63,0.0183765,1.35409,6599.35,-3875.48,75.9732,713.983,0.0408719,1.36317,0.000158081
63,0.0182544,1.37156,6599.35,-3875.45,75.0401,714.894,0.0412997,1.39728,0.000812777
63,0.0191591,2.12003,6599.28,-3875.62,78.9641,712.67,0.0397347,1.99102,-0.00325302
63,0.0179565,1.3367,6599.37,-3875.4,74.1807,715.671,0.0414531,1.32731,-0.000326762
63,0.0181257,-1.50234,6599.36,-3875.62,74.3216,716.559,0.0418365,4.64461,-0.00365546
63,0.0182717,-1.47311,6599.35,-3875.39,75.2105,715.384,0.0410751,4.69918,-0.00291435
63,0.0181352,1.339,6599.36,-3875.48,74.7743,715.023,0.0412111,1.33813,-0.00012932
63,0.0184595,-1.48112,6599.34,-3875.49,76.3192,714.023,0.0411137,4.68097,-0.003518
63,0.0184836,1.34606,6599.34,-3875.61,76.0344,713.745,0.0407347,1.33763,-0.000181829
63,0.0179273,1.35451,6599.38,-3875.44,74.405,715.566,0.0415403,1.37645,0.000451212
63,0.0178871,-1.47427,6599.38,-3875.49,73.9513,717.258,0.0416502,4.69941,-0.00302489
63,0.0182493,-1.47477,6599.35,-3875.5,75.3401,715.242,0.0412082,4.69034,-0.00318435
63,0.0182734,-1.46904,6599.35,-3875.54,75.6952,714.839,0.0410695,4.69645,-0.00306156
63,0.0191989,2.13247,6599.29,-3875.45,79.5977,713.702,0.0396047,2.01003,-0.00286883
63,0.0183026,-1.47429,6599.35,-3875.42,75.4797,715.018,0.0410285,4.69204,-0.0031134
63,0.018047,1.34463,6599.37,-3875.59,74.4793,715.253,0.0411397,1.34053,-0.000260846
63,0.0182519,-1.48877,6599.35,-3875.43,75.2712,715.022,0.0411995,4.66598,-0.00374164
63,0.0182151,1.35299,6599.36,-3875.53,75.0682,714.747,0.0410796,1.3571,0.000365628
63,0.018398,-1.48622,6599.34,-3875.55,75.852,714.647,0.0413662,4.67311,-0.00354608
63,0.0184231,-1.47702,6599.34,-3875.49,76.0951,714.209,0.0408946,4.69846,-0.00293418
63,0.0181753,-1.50286,6599.36,-3875.43,75.3547,714.647,0.0411503,4.63756,-0.00378143
63,0.0180228,1.36722,6599.37,-3875.39,74.2213,715.52,0.0412315,1.38931,0.000657775
63,0.0177971,1.35488,6599.38,-3875.38,73.5013,716.567,0.041723,1.36457,0.000210721
63,0.0180847,1.36261,6594.27,-3875.61,74.3848,715.432,0.0411899,1.37121,0.00017185
63,0.0178642,1.34852,6599.38,-3875.39,73.6121,716.381,0.0416129,1.35681,0.00017252
63,0.0179322,-1.50179,6599.38,-3875.39,74.2878,716.472,0.0416286,4.64238,-0.00371625
63,0.0180596,1.35308,6599.37,-3875.49,74.791,715.106,0.041342,1.36052,0.000110762
63,0.0184244,-1.47711,6599.34,-3875.62,76.0085,714.302,0.0409969,4.68834,-0.00323151
63,0.018126,-1.49668,6599.36,-3875.5,74.5926,716.039,0.0416539,4.6456,-0.00419146
63,0.0180421,1.32614,6599.37,-3875.54,74.4027,715.645,0.0415071,1.30409,-0.000590606
63,0.0182285,-1.51817,6599.35,-3875.57,75.2249,714.699,0.0409682,4.61577,-0.00423721
63,0.0176299,-1.48666,6599.39,-3875.52,75.816,714.132,0.0411141,4.647,-0.0035291
63,0.018363,1.34368,6599.34,-3875.42,75.7065,714.174,0.0408961,1.34284,-0.000227982
63,0.0179921,-1.49955,6599.37,-3875.56,74.2585,716.445,0.0415646,4.64541,-0.00390278
63,0.0182009,1.32511,6599.35,-3875.44,75.1108,714.8,0.0412275,1.29834,-0.000622761
63,0.018055,1.34209,6599.36,-3875.49,74.3077,715.528,0.0415044,1.33971,5.0761e-05
63,0.0181064,-1.49344,6599.36,-3875.48,74.6326,715.663,0.0410588,4.66492,-0.00347641
63,0.0182783,1.32237,6599.35,-3875.47,75.1557,714.661,0.0410779,1.29394,-0.000843851
63,0.0179116,1.34957,6599.38,-3875.6,74.1175,715.811,0.0415537,1.3449,0.000241513
63,0.0182763,1.33708,6599.35,-3875.53,75.8086,714.001,0.0408535,1.32941,5.77101e-06
63,0.0180976,-1.50472,6599.36,-3875.44,74.6722,715.911,0.0414269,4.63821,-0.00365431
63,0.0183387,-1.46176,6599.35,-3875.59,75.3855,715.033,0.0410859,4.71857,-0.00275716
63,0.0178993,1.34512,6599.38,-3875.58,74.1419,715.912,0.041685,1.34256,7.025e-06
63,0.0185072,-1.50632,6599.33,-3875.44,75.5595,714.48,0.041137,4.62579,-0.00405021
63,0.0180637,-1.4917,6599.37,-3875.44,74.3468,716.429,0.0415969,4.65963,-0.00339551
63,0.0184441,1.34108,6599.34,-3875.51,76.3249,713.682,0.0407956,1.33709,-8.23284e-05
63,0.0179505,1.35575,6599.37,-3875.49,73.7244,716.207,0.0414895,1.3697,0.00024151
63,0.0179617,1.36211,6599.37,-3875.4,74.321,715.482,0.0413127,1.37061,0.000330301
63,0.0181513,-1.50956,6599.36,-3875.46,74.7408,715.695,0.0414445,4.62573,-0.00432527
63,0.0179,-1.48142,6599.37,-3875.41,73.6702,717.641,0.0418391,4.67688,-0.00313971
63,0.018034,1.35794,6599.37,-3875.6,74.3324,715.599,0.0414268,1.37189,0.000275794
63,0.0179134,-1.46275,6599.38,-3875.52,74.0692,716.838,0.0415199,4.71366,-0.00271964
63,0.0182876,1.33914,6599.35,-3875.39,75.5082,714.31,0.0409984,1.33649,-0.000225495
63,0.018189,1.3684,6599.36,-3875.56,74.8246,715.164,0.041421,1.38714,0.000459022
63,0.0180735,1.33991,6599.36,-3875.62,74.3485,715.407,0.041298,1.33298,-0.00020062
63,0.0185014,1.35388,6599.33,-3875.42,76.1812,713.935,0.0410155,1.36131,0.000116568
63,0.0181219,-1.50916,6599.36,-3875.37,74.8071,715.76,0.0415387,4.62695,-0.00389428
63,0.0179855,-1.46662,6599.37,-3875.46,74.0731,716.959,0.0416269,4.71201,-0.00267444
