,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate
15,0.01129612275752506,3.1718818086551264,-5100.386436411455,4399.89024909208,850.7464755846426,0.05672119984198706,3.162852253668019,0.0001270394808997058,0.021259600078225915,59.84709542900653,3.155336675071325,16691.376057005808
51,0.010897028138029806,3.185136835611888,-5100.470774373821,4399.897617115494,860.1348874273884,0.05736793824598278,3.1680069482131175,0.0004470716383949306,0.02641429462332434,57.3909716245079,3.1613602007496207,19376.34799802643
127,0.010841748914562806,3.1669959814424806,-5100.289568271306,4399.898743278624,861.5566386130123,0.05767083242785308,3.1361173784359524,-0.0002548438624514893,-0.00547527515384072,57.00322020703254,3.1393210368759132,19840.78769545203
160,0.01110896604604137,3.1064637360481666,-5100.447254527064,4399.892793071821,858.8308376746805,0.05716814296138806,3.1042997569291044,-0.0007765085357616746,-0.03729289666068869,57.882330608874334,3.117053984360416,17554.255495633293
237,0.011592207532101854,3.1361071197260775,-5099.507216714968,4399.881260968199,853.6481955596845,0.05650993872390107,3.1235265386877864,0.0001601076388956179,-0.018066114902006714,59.26133106105904,3.1314562561357984,14086.27260452514
296,0.011354580192629133,3.1320121797502187,-5100.299563813527,4399.887869379012,855.3071426060279,0.05663843908932098,3.0845137606754056,-0.0010379152083185347,-0.0570788929143875,58.59475609336244,3.113185696108059,15938.355483480016
309,0.011271567862614155,3.1843243606240357,-5099.660565536855,4399.8905430626555,856.1414209994276,0.05685640252236924,3.1902724563392897,0.00043944567500777125,0.04867980274949657,58.44542335852486,3.172398938548006,16787.928732080058
342,0.011367509881124031,3.1553046906183373,-5099.671815316404,4399.885422196081,858.2427800118953,0.05738081472959751,3.182245213176307,0.0005453307034910121,0.040652559586513703,58.14957065601824,3.1656873712147786,15213.859077957688
381,0.01129720278338385,3.0636234009400867,-5099.876069526874,4399.888710265987,853.0234217993042,0.05626676470128644,3.088956226551524,-0.000703595230861848,-0.05263642703826932,59.21119455880093,3.1103461437706272,16198.75729417975
427,0.011756122797544727,3.1383885324817054,-5099.932882198625,4335.83070464314,853.2383865000401,0.05606418670813923,3.1520814881225916,0.00016443079751173728,0.010488834532798474,60.16994837356064,3.148589625381271,14782.118320166948
429,0.011097444714619476,3.1523693314780483,-5099.93525400494,4399.895445478349,858.7109058420166,0.05727592353490016,3.1437848862310336,0.00023246045280138157,0.002192232641240466,57.84509789472346,3.140756340835866,18523.940609281315
438,0.011768067348581854,3.138421842519769,-5100.260495444998,4399.879874030355,847.7599763731725,0.05378842956322019,3.1068163107400704,-0.002477604780519285,-0.03477634284972275,60.106472247887936,3.1250072741120403,13737.041574935798
456,0.011228458664387184,3.136392031486367,-5099.866651107698,4399.886523640782,861.3366528526171,0.05753317435562377,3.149023160818454,-4.451692615695645e-05,0.007430507228660677,57.2094398601782,3.1499251653280527,15533.964830782654
461,0.0115441000249877,3.140219133793413,-5099.606106877432,4399.887353183534,854.6200798087207,0.05659148652988622,3.1214378587016123,-0.00042632626365938863,-0.020154794888180838,58.92179943254229,3.130832913979083,15781.472202678482
467,0.011454736559851419,3.1145176190631787,-5099.955849477505,4399.887897720771,851.5605446355111,0.056487531606220755,3.141326360528037,3.732637673344294e-05,-0.00026629306175607326,59.68151403547995,3.1364029143173853,15947.033954686935
587,0.011136354250816837,3.1413904503812775,-5100.346664040614,4399.8923394952535,856.7466066586302,0.05706136900162358,3.127829777356968,-0.00015457337950402144,-0.013762876232825239,58.2833554849004,3.1349966761813617,17395.779959526466
637,0.011308279711637862,3.158293373619065,-5099.698185979702,4399.892487027328,854.3898461506262,0.05634220614322539,3.1863879427355273,0.0008766830541980118,0.04479528914573416,58.833846709352386,3.1660199712633683,18302.956191633908
671,0.011138771982510492,3.1437742020599124,-5100.092483435945,4399.89287884627,858.846642311306,0.05737955678312507,3.1464252471509937,-0.00026235732043053406,0.004832593561200582,57.75779111611851,3.147040326931587,17584.45771861372
702,0.011197249506467858,3.1834581851786456,-5099.82411061752,4399.889593709973,856.1826215939027,0.057037776338317095,3.207883266819517,0.0007787976133629352,0.06629061322972385,58.558247810662934,3.1807117630692225,16478.974213299694
724,0.010875020653105312,3.0929476650781407,-5100.092405064966,4399.900085680225,860.2105270148272,0.05725649102779028,3.1298555942453845,9.402779201102175e-05,-0.011737059344408607,57.17917755352858,3.1285516047033566,20415.66061236388
804,0.011664531875454007,3.1783158717788624,-5099.834605457308,4399.879364304935,851.4258275788402,0.05588572526002733,3.1917941648336576,0.0007238731906810874,0.050201511243864516,59.75575307866355,3.1697355853316402,13725.622950107378
814,0.011369517633540636,3.1133330586372847,-5100.214892187417,4399.887244016516,853.8041018434174,0.05645912306709975,3.1247622827622545,-0.00038202587191645367,-0.016830370827538577,58.98985621351895,3.1274999726048516,15748.578227023712
843,0.01100652994184462,3.136619368908984,-5100.015214403724,4399.895600999398,861.692165388579,0.057406324280200906,3.152208460570684,-0.000178704797084239,0.01061580698089104,56.98480552669924,3.147475943701444,18583.17113848425
866,0.012024543223807055,3.0751954407386184,-5099.50456521635,4399.87524376961,850.501504917537,0.05625127337736605,3.182167855515743,0.0005532766802417595,0.040575201925949766,60.28246172677021,3.1467912612897386,12656.923511756064
894,0.01172481006429441,3.1213242350254644,-5099.892407281035,4399.882000698373,851.589123709002,0.056392107601249616,3.147527951907947,-3.286942287254559e-05,0.005935298318153759,59.821708653310516,3.140390509016855,14277.759634071113
